folder,role,dx,dy,distance_px,covariance_dn2,normalized_acf,direction
2,evaluation,16,16,22.627416997969522,1.028376005937325,0.0005120254188728309,diagonal_main
4,calibration,-16,-16,22.627416997969522,131.12803620574246,0.007790247665775238,diagonal_main
4,calibration,0,-16,16.0,522.326094772369,0.03103111857932139,vertical
4,calibration,16,-16,22.627416997969522,57.1796370357777,0.0033970121633556147,diagonal_anti
4,calibration,-15,-15,21.213203435596427,150.48008129862754,0.008939942486769003,diagonal_main
4,calibration,0,-15,15.0,529.2823815651119,0.03144438791910317,vertical
4,calibration,15,-15,21.213203435596427,69.76106099203375,0.004144467943548715,diagonal_anti
4,calibration,-14,-14,19.79898987322333,164.13575146430577,0.009751218669277048,diagonal_main
4,calibration,0,-14,14.0,532.672753016428,0.03164580810390092,vertical
4,calibration,14,-14,19.79898987322333,88.97862051867959,0.005286173047783269,diagonal_anti
4,calibration,-13,-13,18.384776310850235,191.12989139702654,0.011354926325437912,diagonal_main
4,calibration,0,-13,13.0,539.3957410102131,0.032045217284737304,vertical
4,calibration,13,-13,18.384776310850235,108.35688421993041,0.006437425502510682,diagonal_anti
4,calibration,-12,-12,16.97056274847714,208.83898015882608,0.012407013974894937,diagonal_main
4,calibration,0,-12,12.0,546.3325971687226,0.03245733226075859,vertical
4,calibration,12,-12,16.97056274847714,133.05656266681976,0.007904820408542625,diagonal_anti
4,calibration,-11,-11,15.556349186104045,239.51882691963525,0.014229687535259513,diagonal_main
4,calibration,0,-11,11.0,546.4775059616861,0.03246594121593552,vertical
4,calibration,11,-11,15.556349186104045,157.83234482408452,0.009376736595982144,diagonal_anti
4,calibration,-10,-10,14.142135623730951,270.60477900347774,0.016076487599279307,diagonal_main
4,calibration,0,-10,10.0,558.6824209613164,0.033191028797035824,vertical
4,calibration,10,-10,14.142135623730951,188.97705752916858,0.011227027597605459,diagonal_anti
4,calibration,-9,-9,12.727922061357855,309.3686554068654,0.018379429109011653,diagonal_main
4,calibration,0,-9,9.0,569.7736655750296,0.033849953806230286,vertical
4,calibration,9,-9,12.727922061357855,226.25098719279194,0.013441452155147913,diagonal_anti
4,calibration,-8,-8,11.313708498984761,354.9292770852713,0.021086161680866695,diagonal_main
4,calibration,0,-8,8.0,580.9488280763665,0.03451386433299288,vertical
4,calibration,8,-8,11.313708498984761,273.77021822743075,0.0162645446787498,diagonal_anti
4,calibration,-7,-7,9.899494936611665,403.88405232139655,0.023994539130471747,diagonal_main
4,calibration,0,-7,7.0,591.0716109291458,0.03511525353832104,vertical
4,calibration,7,-7,9.899494936611665,325.00936493514604,0.019308635436044413,diagonal_anti
4,calibration,-6,-6,8.48528137423857,451.05478145474035,0.02679692733940807,diagonal_main
4,calibration,0,-6,6.0,606.0754799277057,0.036006625504421685,vertical
4,calibration,6,-6,8.48528137423857,382.125536786616,0.022701877166179055,diagonal_anti
4,calibration,-5,-5,7.0710678118654755,497.1373865434042,0.02953467067113566,diagonal_main
4,calibration,0,-5,5.0,627.1992182484548,0.037261575688282186,vertical
4,calibration,5,-5,7.0710678118654755,447.77763690004593,0.026602233904988296,diagonal_anti
4,calibration,-4,-4,5.656854249492381,557.4193652237387,0.033115991319955254,diagonal_main
4,calibration,0,-4,4.0,651.9754429724405,0.038733518168377834,vertical
4,calibration,4,-4,5.656854249492381,508.37081123052917,0.030202042523713626,diagonal_anti
4,calibration,-3,-3,4.242640687119285,619.2333608632665,0.03678832829057469,diagonal_main
4,calibration,0,-3,3.0,692.4412264133454,0.04113756908011161,vertical
4,calibration,3,-3,4.242640687119285,581.5334101220292,0.03454859404487183,diagonal_anti
4,calibration,-2,-2,2.8284271247461903,690.0683633178966,0.0409965985315897,diagonal_main
4,calibration,0,-2,2.0,756.0897058007454,0.04491889176536755,vertical
4,calibration,2,-2,2.8284271247461903,665.0945827681624,0.03951291936378844,diagonal_anti
4,calibration,-1,-1,1.4142135623730951,813.272258371818,0.04831607713914165,diagonal_main
4,calibration,0,-1,1.0,889.9652341669752,0.052872366495387,vertical
4,calibration,1,-1,1.4142135623730951,805.819234753444,0.04787329692580186,diagonal_anti
4,calibration,-16,0,16.0,196.59197464524863,0.01167942581849803,horizontal
4,calibration,-15,0,15.0,213.07274772121633,0.012658539879077595,horizontal
4,calibration,-14,0,14.0,230.56437937552337,0.013697708516147433,horizontal
4,calibration,-13,0,13.0,249.38597589588744,0.01481588966643075,horizontal
4,calibration,-12,0,12.0,262.89006514603074,0.015618160506469017,horizontal
4,calibration,-11,0,11.0,294.803886556795,0.017514143851793354,horizontal
4,calibration,-10,0,10.0,317.08496320926906,0.018837850897253504,horizontal
4,calibration,-9,0,9.0,347.58440166278194,0.02064980649496518,horizontal
4,calibration,-8,0,8.0,390.67095102669714,0.0232095557318248,horizontal
4,calibration,-7,0,7.0,439.63951667816156,0.02611875246275225,horizontal
4,calibration,-6,0,6.0,492.65626807645714,0.029268449779804504,horizontal
4,calibration,-5,0,5.0,540.3903359904401,0.03210430564941737,horizontal
4,calibration,-4,0,4.0,608.3860135476122,0.03614389309158306,horizontal
4,calibration,-3,0,3.0,675.3051272040966,0.040119522438614684,horizontal
4,calibration,-2,0,2.0,714.8199690145522,0.04246707840821975,horizontal
4,calibration,-1,0,1.0,915.550740970006,0.05439238799816658,horizontal
4,calibration,0,0,0.0,16832.332145462464,1.0,horizontal
4,calibration,1,0,1.0,915.550740970006,0.05439238799816658,horizontal
4,calibration,2,0,2.0,714.8199690145522,0.04246707840821975,horizontal
4,calibration,3,0,3.0,675.3051272040966,0.040119522438614684,horizontal
4,calibration,4,0,4.0,608.3860135476122,0.03614389309158306,horizontal
4,calibration,5,0,5.0,540.3903359904401,0.03210430564941737,horizontal
4,calibration,6,0,6.0,492.6562680764571,0.0292684497798045,horizontal
4,calibration,7,0,7.0,439.63951667816156,0.02611875246275225,horizontal
4,calibration,8,0,8.0,390.6709510266971,0.023209555731824795,horizontal
4,calibration,9,0,9.0,347.58440166278183,0.020649806494965173,horizontal
4,calibration,10,0,10.0,317.084963209269,0.0188378508972535,horizontal
4,calibration,11,0,11.0,294.803886556795,0.017514143851793354,horizontal
4,calibration,12,0,12.0,262.89006514603074,0.015618160506469017,horizontal
4,calibration,13,0,13.0,249.38597589588747,0.014815889666430751,horizontal
4,calibration,14,0,14.0,230.5643793755234,0.013697708516147435,horizontal
4,calibration,15,0,15.0,213.07274772121633,0.012658539879077595,horizontal
4,calibration,16,0,16.0,196.59197464524863,0.01167942581849803,horizontal
4,calibration,-1,1,1.4142135623730951,805.8192347534437,0.04787329692580184,diagonal_anti
4,calibration,0,1,1.0,889.9652341669748,0.05287236649538698,vertical
4,calibration,1,1,1.4142135623730951,813.272258371818,0.04831607713914165,diagonal_main
4,calibration,-2,2,2.8284271247461903,665.0945827681624,0.03951291936378844,diagonal_anti
4,calibration,0,2,2.0,756.0897058007454,0.04491889176536755,vertical
4,calibration,2,2,2.8284271247461903,690.0683633178965,0.04099659853158969,diagonal_main
4,calibration,-3,3,4.242640687119285,581.5334101220292,0.03454859404487183,diagonal_anti
4,calibration,0,3,3.0,692.4412264133454,0.04113756908011161,vertical
4,calibration,3,3,4.242640687119285,619.2333608632665,0.03678832829057469,diagonal_main
4,calibration,-4,4,5.656854249492381,508.3708112305292,0.03020204252371363,diagonal_anti
4,calibration,0,4,4.0,651.9754429724405,0.038733518168377834,vertical
4,calibration,4,4,5.656854249492381,557.4193652237386,0.03311599131995525,diagonal_main
4,calibration,-5,5,7.0710678118654755,447.7776369000459,0.026602233904988292,diagonal_anti
4,calibration,0,5,5.0,627.1992182484547,0.03726157568828218,vertical
4,calibration,5,5,7.0710678118654755,497.13738654340403,0.02953467067113565,diagonal_main
4,calibration,-6,6,8.48528137423857,382.12553678661607,0.02270187716617906,diagonal_anti
4,calibration,0,6,6.0,606.0754799277056,0.03600662550442168,vertical
4,calibration,6,6,8.48528137423857,451.0547814547403,0.026796927339408066,diagonal_main
4,calibration,-7,7,9.899494936611665,325.00936493514604,0.019308635436044413,diagonal_anti
4,calibration,0,7,7.0,591.0716109291458,0.03511525353832104,vertical
4,calibration,7,7,9.899494936611665,403.88405232139655,0.023994539130471747,diagonal_main
4,calibration,-8,8,11.313708498984761,273.77021822743075,0.0162645446787498,diagonal_anti
4,calibration,0,8,8.0,580.9488280763665,0.03451386433299288,vertical
4,calibration,8,8,11.313708498984761,354.9292770852712,0.021086161680866692,diagonal_main
4,calibration,-9,9,12.727922061357855,226.25098719279188,0.01344145215514791,diagonal_anti
4,calibration,0,9,9.0,569.7736655750296,0.033849953806230286,vertical
4,calibration,9,9,12.727922061357855,309.36865540686534,0.01837942910901165,diagonal_main
4,calibration,-10,10,14.142135623730951,188.97705752916858,0.011227027597605459,diagonal_anti
4,calibration,0,10,10.0,558.6824209613164,0.033191028797035824,vertical
4,calibration,10,10,14.142135623730951,270.60477900347774,0.016076487599279307,diagonal_main
4,calibration,-11,11,15.556349186104045,157.83234482408452,0.009376736595982144,diagonal_anti
4,calibration,0,11,11.0,546.4775059616861,0.03246594121593552,vertical
4,calibration,11,11,15.556349186104045,239.51882691963525,0.014229687535259513,diagonal_main
4,calibration,-12,12,16.97056274847714,133.05656266681976,0.007904820408542625,diagonal_anti
4,calibration,0,12,12.0,546.3325971687226,0.03245733226075859,vertical
4,calibration,12,12,16.97056274847714,208.83898015882602,0.012407013974894934,diagonal_main
4,calibration,-13,13,18.384776310850235,108.35688421993042,0.0064374255025106825,diagonal_anti
4,calibration,0,13,13.0,539.395741010213,0.0320452172847373,vertical
