heldout_folder,strategy,selected_candidate,pair_key,folder,condition_score,alpha_physical,threshold,low,high,psnr,ssim,residual_mean,residual_std,noisy_psnr,noisy_ssim,psnr_gain,ssim_gain,gradient_ratio_to_noisy
8,always_p99,always_p99,folder_8_frame_141,8,0.6334581084407909,0.0,,,,52.21963065562727,0.9936912019291068,0.0001476709294365719,0.0024447115138173103,52.18171858760041,0.9936245682914311,0.037912068026862755,6.663363767567265e-05,0.994970777845254
8,always_p99,always_p99,folder_8_frame_151,8,0.6334581084407909,0.0,,,,52.15883172584899,0.9937039590490524,3.778151221922599e-05,0.0024660818744450808,52.10547012761823,0.9936265526344795,0.053361598230758034,7.740641457287811e-05,0.9949518233086847
8,always_p99,always_p99,folder_8_frame_161,8,0.6334581084407909,0.0,,,,52.088483102541126,0.9936638129152954,-8.885735951480456e-06,0.0024864119477570057,52.02877621625552,0.993582301501674,0.05970688628560339,8.151141362133796e-05,0.994973153760882
8,always_p99,always_p99,folder_8_frame_171,8,0.6334581084407909,0.0,,,,52.02176738183327,0.9936071837117778,0.00014569405175279826,0.0025013599079102278,51.9856887276744,0.9935392842974101,0.036078654158870904,6.78994143676892e-05,0.9949601390377636
8,always_physical,always_physical,folder_8_frame_101,8,0.6334581084407909,1.0,,,,53.241312633307615,0.9949161365457602,-4.8925117880571634e-05,0.0021768310107290745,52.37326165574647,0.9937589457155133,0.8680509775611469,0.0011571908302469014,0.9350089282882121
8,always_physical,always_physical,folder_8_frame_111,8,0.6334581084407909,1.0,,,,53.16984147789129,0.9948705591718952,-7.416948210448027e-05,0.0021941177546977997,52.3167007591026,0.9937161837618156,0.853140718788687,0.0011543754100795667,0.9353672879165825
8,always_physical,always_physical,folder_8_frame_121,8,0.6334581084407909,1.0,,,,53.08639860267638,0.9948193678234382,-0.00018802483100444078,0.002208573743700981,52.26664339736423,0.9936893392462443,0.8197552053121555,0.001130028577193909,0.935912294824325
8,always_physical,always_physical,folder_8_frame_131,8,0.6334581084407909,1.0,,,,53.124711707674464,0.994840777485645,-8.834221080178395e-05,0.002205038210377097,52.27989280347139,0.9936872990985113,0.8448189042030734,0.001153478387133755,0.9355363296020922
8,always_physical,always_physical,folder_8_frame_141,8,0.6334581084407909,1.0,,,,53.016538253602796,0.9947950074819883,-1.822225021896884e-05,0.002234388142824173,52.18171858760041,0.9936245682914311,0.8348196660023888,0.0011704391905572598,0.9352556776148252
8,always_physical,always_physical,folder_8_frame_151,8,0.6334581084407909,1.0,,,,52.90109150228524,0.994769815725397,-0.00012775274808518589,0.0022607529535889626,52.10547012761823,0.9936265526344795,0.7956213746670073,0.0011432630909175012,0.935576531320281
8,always_physical,always_physical,folder_8_frame_161,8,0.6334581084407909,1.0,,,,52.79886822104171,0.9947143618421515,-0.00017431983724236488,0.0022845251951366663,52.02877621625552,0.993582301501674,0.7700920047861857,0.0011320603404774143,0.9358154393439889
8,always_physical,always_physical,folder_8_frame_171,8,0.6334581084407909,1.0,,,,52.78099736769454,0.994712267351472,-2.0177725673420355e-05,0.00229579652659595,51.9856887276744,0.9935392842974101,0.7953086400201386,0.0011729830540618824,0.9347923050668012
8,lofo_best_hard,hard_q60,folder_8_frame_101,8,0.6334581084407909,1.0,-0.273429003806539,,,53.241312633307615,0.9949161365457602,-4.8925117880571634e-05,0.0021768310107290745,52.37326165574647,0.9937589457155133,0.8680509775611469,0.0011571908302469014,0.9350089282882121
8,lofo_best_hard,hard_q60,folder_8_frame_111,8,0.6334581084407909,1.0,-0.273429003806539,,,53.16984147789129,0.9948705591718952,-7.416948210448027e-05,0.0021941177546977997,52.3167007591026,0.9937161837618156,0.853140718788687,0.0011543754100795667,0.9353672879165825
8,lofo_best_hard,hard_q60,folder_8_frame_121,8,0.6334581084407909,1.0,-0.273429003806539,,,53.08639860267638,0.9948193678234382,-0.00018802483100444078,0.002208573743700981,52.26664339736423,0.9936893392462443,0.8197552053121555,0.001130028577193909,0.935912294824325
8,lofo_best_hard,hard_q60,folder_8_frame_131,8,0.6334581084407909,1.0,-0.273429003806539,,,53.124711707674464,0.994840777485645,-8.834221080178395e-05,0.002205038210377097,52.27989280347139,0.9936872990985113,0.8448189042030734,0.001153478387133755,0.9355363296020922
8,lofo_best_hard,hard_q60,folder_8_frame_141,8,0.6334581084407909,1.0,-0.273429003806539,,,53.016538253602796,0.9947950074819883,-1.822225021896884e-05,0.002234388142824173,52.18171858760041,0.9936245682914311,0.8348196660023888,0.0011704391905572598,0.9352556776148252
8,lofo_best_hard,hard_q60,folder_8_frame_151,8,0.6334581084407909,1.0,-0.273429003806539,,,52.90109150228524,0.994769815725397,-0.00012775274808518589,0.0022607529535889626,52.10547012761823,0.9936265526344795,0.7956213746670073,0.0011432630909175012,0.935576531320281
8,lofo_best_hard,hard_q60,folder_8_frame_161,8,0.6334581084407909,1.0,-0.273429003806539,,,52.79886822104171,0.9947143618421515,-0.00017431983724236488,0.0022845251951366663,52.02877621625552,0.993582301501674,0.7700920047861857,0.0011320603404774143,0.9358154393439889
8,lofo_best_hard,hard_q60,folder_8_frame_171,8,0.6334581084407909,1.0,-0.273429003806539,,,52.78099736769454,0.994712267351472,-2.0177725673420355e-05,0.00229579652659595,51.9856887276744,0.9935392842974101,0.7953086400201386,0.0011729830540618824,0.9347923050668012
8,lofo_best_linear,linear_q40_q60,folder_8_frame_101,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,53.241312633307615,0.9949161365457602,-4.8925117880571634e-05,0.0021768310107290745,52.37326165574647,0.9937589457155133,0.8680509775611469,0.0011571908302469014,0.9350089282882121
8,lofo_best_linear,linear_q40_q60,folder_8_frame_111,8,0.6334581084407909,1.0,,-0.5713771580269047,-0.273429003806539,53.16984147789129,0.9948705591718952,-7.416948210448027e-05,0.0021941177546977997,52.3167007591026,0.9937161837618156,0.853140718788687,0.0011543754100795667,0.9353672879165825
