frame_count,mean_signal_DN,median_signal_DN,temporal_std_DN,temporal_variance_DN2,row_energy_DN,column_energy_DN,radial_acf_lag1,observed_stable_strength_DN,drift_percent,folder,roi_name,roi_top,roi_left,roi_height,roi_width,adjustment_model,predicted_temporal_std_DN,brightness_adjusted_temporal_residual_DN,standardized_adjusted_residual,adjusted_residual_rank_within_roi
200,941.231291809082,936.88,40.13368831813118,1723.3091863369586,6.696862350223244,1.8653579259075277,0.03408780027059516,16.946087895941837,-0.30913247445270103,2,top_left,0,0,512,512,S1,57.689901961776606,-17.556213643645428,-1.054714502465781,3.0
200,1932.3810104370116,1115.6,113.32559410630986,19020.569134368132,9.069300922575184,9.329729481385447,0.018465943661252524,103.38423611589654,0.3246502254432978,4,top_left,0,0,512,512,S1,101.94226727436664,11.383326831943222,0.6838695483922906,7.0
200,5268.68979034424,1783.12,226.55835268101453,80480.96724008226,15.092625123136935,32.48604973107953,0.046957038695102364,417.7256835628385,0.16133458254640082,5,top_left,0,0,512,512,S1,250.9001412961006,-24.341788615086074,-1.462367569078908,1.0
200,4130.543632507325,4497.2,209.05185179914804,59475.0528879505,13.320339549465574,24.273803908662256,0.03667156938612254,268.6737230189481,0.10655842686634197,7,top_left,0,0,512,512,S1,200.08475124035584,8.967100558792197,0.5387113187615155,6.0
200,3602.308870544433,4021.12,190.34131563276048,49035.02145117677,12.394874486810947,16.757047089316842,0.021642432651532047,225.2563185949461,-0.05919710340817667,8,top_left,0,0,512,512,S1,176.50038530868775,13.84093032407273,0.8315135732984101,8.0
200,1910.3128533935544,2118.0,120.88058613410674,18839.13933652638,9.013183021114063,7.629519854848179,0.012041657851300203,86.05189868187496,0.12112627242574736,9,top_left,0,0,512,512,S1,100.95697904907757,19.92360708502916,1.1969390302798164,10.0
200,1495.720859069824,1597.28,96.65813163302784,11596.039640266763,8.145369072071937,5.340342320663317,0.01067343312075153,52.704290520285866,0.0997994653988064,10,top_left,0,0,512,512,S1,82.44647953152065,14.211652101507184,0.8537852113051358,9.0
200,1243.5403387451167,1289.84,77.72261099035259,7148.897034832364,7.53411653899043,4.070973767546136,0.016287586809959648,33.17839605668867,-0.23004881710956815,11,top_left,0,0,512,512,S1,71.18724765121861,6.53536333913398,0.39262124696020323,5.0
200,937.8949932861327,935.84,39.27067743885188,1648.2730898143054,6.682257115949799,1.81106088686436,0.03359170527888326,16.727639527422003,0.22865564510586575,13,top_left,0,0,512,512,S1,57.54094454570249,-18.27026710685061,-1.0976122797693182,2.0
200,1276.387868347168,1004.16,76.68579083354395,7729.419115180395,14.05265586557092,4.049834715465944,0.04445848336493742,42.19836003435025,-0.33238462215553505,1,top_right,0,4608,512,512,S1,68.43893664043014,8.246854193113805,0.9805358513579341,8.0
200,981.0752508544922,948.16,45.928783863966174,2275.4461728564697,6.865029048176874,2.166901608076544,0.03792717069583608,21.613214838616205,-0.2937169881269303,2,top_right,0,4608,512,512,S1,54.070187599962544,-8.14140373599637,-0.9679979852426261,2.0
200,1590.8265313720706,1062.24,94.49803917084662,13064.129978849323,10.788104752864108,5.9901295163892,0.021519254406492667,80.02714134130672,0.09148806671455496,4,top_right,0,4608,512,512,S1,83.73828373905873,10.759755431787895,1.2793152037926065,10.0
200,3798.5468536376957,1548.8,183.6742322922846,53894.02302655857,33.026634140814124,16.11511268983949,0.05448417291885637,319.39973910140606,-0.1758592921020905,5,top_right,0,4608,512,512,S1,191.15726072524112,-7.48302843295653,-0.8897183681713972,3.0
200,1790.6630557250976,1135.76,101.75220695380938,17223.5092182838,11.440811646820322,16.353868692422587,0.07038056769208091,167.1028592718952,0.19622652960946474,7,top_right,0,4608,512,512,S1,93.46154206756259,8.290664886246788,0.9857448624891847,9.0
200,1648.4386608886718,1097.92,93.81049345842206,14224.682784626257,9.989958034337988,11.112000731771493,0.043308927226829504,140.28499426404204,0.15080783600799008,8,top_right,0,4608,512,512,S1,86.54146308757231,7.269030370849748,0.8642743907342754,7.0
200,1193.5871878051755,992.16,66.06179130049068,6102.552088837744,7.533508903439201,4.8395093422298405,0.02371278541563342,55.368977485395135,0.06599470083652335,9,top_right,0,4608,512,512,S1,64.41018159030999,1.6516097101806935,0.1963733679971355,6.0
200,1082.527044067383,965.92,57.2188298038873,4205.149809496702,7.104694071785338,3.401138992602074,0.02362300929279245,36.64311335695204,0.13711565392730463,10,top_right,0,4608,512,512,S1,59.00643234547396,-1.7876025415866579,-0.21254266644703027,5.0
200,1015.7597534179686,952.0,49.977601242568305,2900.0192194370297,6.861686542756493,2.6797027037540873,0.03708681701019054,26.42183578511018,-0.3164149794813329,11,top_right,0,4608,512,512,S1,55.757798908816994,-5.780197666248689,-0.6872549104147948,4.0
200,938.4831427001952,936.4,38.972141127434355,1626.9255443722516,6.6432127845900935,1.8084138214796308,0.03818634569476495,20.607444932855582,0.22927797475714423,13,top_right,0,4608,512,512,S1,51.99782334282502,-13.025682215390667,-1.5487297460952862,1.0
200,951.9965063476564,950.24,41.180607671357414,1802.66798533684,6.684757810560654,1.9092186458495979,0.03513662092822891,15.705469318630907,-0.11622802414081189,1,bottom_left,4608,0,512,512,S1,52.361865899842954,-11.18125822848554,-1.009063512215945,4.0
200,938.8820947265624,937.04,39.81424349508563,1698.0038121761147,6.653823049198115,1.852783724578879,0.035506821492060865,15.579786576130605,-0.2770143845150433,2,bottom_left,4608,0,512,512,S1,51.75498568093653,-11.940742185850901,-1.077603879840972,3.0
200,1704.5649404907226,1064.88,98.52300742823738,15068.978626113969,9.371698232367565,9.258058878506807,0.02876812562131188,91.93211438654289,-0.0902653812760557,4,bottom_left,4608,0,512,512,S1,87.18759115923602,11.335416269001357,1.022975654357777,9.0
200,4371.975424194337,1542.72,196.62214518129778,67338.94050741992,23.81483543395683,34.64893869492328,0.09149038838188997,410.84622083901314,-0.3833303164827239,5,bottom_left,4608,0,512,512,S1,210.6242122623572,-14.002067081059408,-1.2636301477325589,1.0
200,2622.736778259278,1221.84,139.87306631584082,31881.313613109487,14.170880961167466,17.40767329460415,0.038752496033714,168.85192789614044,-0.23096959650772173,7,bottom_left,4608,0,512,512,S1,129.6767505663139,10.196315749526917,0.9201764212607724,8.0
200,2321.427919006347,1166.96,127.24814445051358,26067.880624288427,12.223443373671055,12.25463140927398,0.025394049979293114,140.37958115230558,-0.2642915093217599,8,bottom_left,4608,0,512,512,S1,115.73343448435227,11.514709966161305,1.0391561882545337,10.0
200,1425.1431866455084,1016.64,84.03766815246495,10177.65507061675,8.188155968531023,5.381257618965268,0.014730131617399654,53.336927703296695,-0.06251768472320475,9,bottom_left,4608,0,512,512,S1,74.25711893980026,9.780549212664681,0.8826551661949288,7.0
200,1216.1734136962893,980.32,70.23703592002525,6600.040261414494,7.524505186966814,3.9656812342898213,0.015413180208684141,34.60016776679182,0.0021303276981773393,10,bottom_left,4608,0,512,512,S1,64.58687026861594,5.65016565140931,0.50990468874854,6.0
200,1089.3426776123044,960.24,59.53450634120718,4352.602803372329,7.151725213021644,3.196854680748191,0.02404222112075058,24.100176481759,-0.34278820725351783,11,bottom_left,4608,0,512,512,S1,58.717673304040936,0.8168330371662407,0.07371589105036028,5.0
200,938.599996032715,936.8,39.572008940575934,1676.2077674259967,6.705917571769565,1.8364897191758425,0.03552282492545232,15.48030029664222,0.13702605348734728,13,bottom_left,4608,0,512,512,S1,51.741931331109654,-12.16992239053372,-1.0982864700774144,2.0
200,1136.1692782592775,975.68,63.84873041188391,4838.970425000981,10.320246667916424,3.1519551464304945,0.038033261864407995,25.28580324183227,0.014503175561593577,1,bottom_right,4608,4608,512,512,S1,53.18007663697755,10.66865377490636,2.324608763324601,10.0
200,963.9786529541013,947.92,44.137047378285054,2075.1882247173367,6.766521693964318,2.0588669641396176,0.03472141040551467,16.056762147469488,-0.24371293986610515,2,bottom_right,4608,4608,512,512,S1,45.12044078418637,-0.9833934059013174,-0.21427304488319973,6.0
200,950.6711917114258,949.04,42.65041531126509,1924.0727289033057,6.720090113440083,1.9665532977787752,0.034472067813568735,15.661028147439298,0.20707003832624155,4,bottom_right,4608,4608,512,512,S1,44.497565458941395,-1.8471501476763024,-0.40247827992734264,5.0
200,1008.3953375244139,1005.04,51.79220810052173,2774.8731135168027,6.814468434668492,2.389549489999474,0.03444073622778001,16.979965848851318,0.11294807954608024,5,bottom_right,4608,4608,512,512,S1,47.199429130912854,4.592778969608872,1.000727408164431,9.0
200,960.9909240722657,959.44,44.83064895051424,2110.185026794127,6.729268697108948,2.072716114647772,0.034165515324978656,15.985978859855324,-0.01097287323414039,7,bottom_right,4608,4608,512,512,S1,44.98059573297185,-0.1499467824576115,-0.0326721263889127,8.0
200,954.5778930664063,953.04,43.96932821681293,2035.8265374234454,6.723290862613775,2.0426383264695094,0.03420613609579645,15.845098298103423,0.14371240687914785,8,bottom_right,4608,4608,512,512,S1,44.680424370400395,-0.7110961535874623,-0.1549417935076199,7.0
200,944.5237942504883,942.8,41.24599238225926,1808.7158803048442,6.685389280539174,1.9186027226643885,0.03424667752365629,15.512842890814133,-0.040602278294257985,9,bottom_right,4608,4608,512,512,S1,44.209827465716046,-2.963835083456786,-0.6457944135611445,4.0
200,939.1711877441406,937.44,40.606894168110344,1758.5858453890544,6.665785801517023,1.881523535665343,0.03425391348473156,15.446660615860212,0.08565630934425106,10,bottom_right,4608,4608,512,512,S1,43.95929083384085,-3.3523966657305095,-0.7304586718923415,3.0
200,936.929396057129,935.12,40.31233284729775,1734.4639696284157,6.637419037976142,1.862949943823377,0.03395516703379717,15.39901921606448,-0.383640579898815,11,bottom_right,4608,4608,512,512,S1,43.854360471789455,-3.542027624491702,-0.7717776421986754,2.0
200,938.292000427246,936.48,39.69842954561074,1686.8474945283056,6.697333029594422,1.8422240179472247,0.03461019216698328,15.288245079018125,0.13579904856702923,13,bottom_right,4608,4608,512,512,S1,43.91813917643787,-4.219709630827126,-0.919438777700146,1.0
