folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,bin_index,bin_low_dn,bin_high_dn,mean_signal_dn,temporal_variance_dn2,temporal_std_dn,fano_like_dn
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2231.0997353582666,7242,single_scene_spatial_binning,11,975.04296875,979.796875,977.3725835404584,2231.0997353582666,46.15247011890475,2.282752527471434
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2282.0790583779294,6087,single_scene_spatial_binning,12,979.796875,984.55078125,982.1247125020535,2282.0790583779294,46.818989107648186,2.32361433260764
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2362.483884909123,5320,single_scene_spatial_binning,13,984.55078125,989.3046875,986.8953947368421,2362.483884909123,47.553007620625486,2.3938544019035417
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2454.6904456672296,4582,single_scene_spatial_binning,14,989.3046875,994.05859375,991.6449694456569,2454.6904456672296,48.43861889346531,2.4753722565036913
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2497.8948509140187,4207,single_scene_spatial_binning,15,994.05859375,998.8125,996.3766638935108,2497.8948509140187,49.047091485853606,2.50697847654628
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2568.523083298798,3800,single_scene_spatial_binning,16,998.8125,1003.56640625,1001.1735526315789,2568.523083298798,49.70762549026304,2.565512319564825
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2634.6499306840765,3459,single_scene_spatial_binning,17,1003.56640625,1008.3203125,1005.8733738074588,2634.6499306840765,50.39490274700712,2.6192660023511003
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2712.6650801174283,3173,single_scene_spatial_binning,18,1008.3203125,1013.07421875,1010.6456035297825,2712.6650801174283,51.016499344966505,2.684091308212463
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2788.4466836624933,2928,single_scene_spatial_binning,19,1013.07421875,1017.828125,1015.404243510929,2788.4466836624933,51.877967355911814,2.7461444065084617
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2761.710765118761,2781,single_scene_spatial_binning,20,1017.828125,1022.58203125,1020.2057713052859,2761.710765118761,51.96738190052451,2.707013470023145
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2881.8739815503523,2763,single_scene_spatial_binning,21,1022.58203125,1027.3359375,1024.9348081795151,2881.8739815503523,52.822041160748974,2.8117632053780324
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2920.9143146175097,2662,single_scene_spatial_binning,22,1027.3359375,1032.08984375,1029.6597952667169,2920.9143146175097,53.46036440239598,2.8367761158052147
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3046.007821444426,2696,single_scene_spatial_binning,23,1032.08984375,1036.84375,1034.4609143175073,3046.007821444426,54.44693092805409,2.9445364046973688
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3030.6470825762162,2730,single_scene_spatial_binning,24,1036.84375,1041.59765625,1039.2079212454212,3030.6470825762162,54.40521503506184,2.9163048323805967
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3129.7849374983675,2713,single_scene_spatial_binning,25,1041.59765625,1046.3515625,1043.94927202359,3129.7849374983675,55.19802433115701,2.998023966654621
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3228.546064160378,2696,single_scene_spatial_binning,26,1046.3515625,1051.10546875,1048.688056379822,3228.546064160378,55.95135084984346,3.0786524596319405
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3216.5569638668144,2598,single_scene_spatial_binning,27,1051.10546875,1055.859375,1053.3650885296381,3216.5569638668144,56.14164819568631,3.053601262176548
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3307.148838836617,2093,single_scene_spatial_binning,28,1055.859375,1060.61328125,1058.0843287147634,3307.148838836617,56.913143723927185,3.1256004356984977
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3427.902798219148,1712,single_scene_spatial_binning,29,1060.61328125,1065.3671875,1062.801620911215,3427.902798219148,57.73054513045728,3.225345850790258
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3409.1959368715275,1155,single_scene_spatial_binning,30,1065.3671875,1070.12109375,1067.5529220779222,3409.1959368715275,57.821962144712174,3.1934678519129056
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3565.6549729156195,705,single_scene_spatial_binning,31,1070.12109375,1074.875,1072.3725177304964,3565.6549729156195,59.138696117849186,3.325015247930592
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,3146.0478372014686,87727,single_scene_spatial_binning,0,996.75,1079.7784570312501,1040.214973725307,3146.0478372014686,55.382452696444204,3.024420832873202
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,4249.785481868258,45988,single_scene_spatial_binning,1,1079.7784570312501,1162.8069140625,1117.1215534487258,4249.785481868258,64.61747646930012,3.8042283480687646
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,5455.619006572706,12259,single_scene_spatial_binning,2,1162.8069140625,1245.83537109375,1196.5198527612367,5455.619006572706,73.29047499935825,4.55957249182506
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,6882.219371349229,5206,single_scene_spatial_binning,3,1245.83537109375,1328.863828125,1283.4243180945064,6882.219371349229,82.47821226359828,5.362388162916552
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,8642.000200611867,3297,single_scene_spatial_binning,4,1328.863828125,1411.8922851562502,1367.7669472247499,8642.000200611867,92.50731751712922,6.318328000356207
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,11380.209144083388,2341,single_scene_spatial_binning,5,1411.8922851562502,1494.9207421875,1451.3602093122597,11380.209144083388,106.26050430636708,7.841064589662413
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,13950.613543307087,1925,single_scene_spatial_binning,6,1494.9207421875,1577.94919921875,1535.1405844155845,13950.613543307087,117.7091022693386,9.087515296599348
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,16010.501225426291,1661,single_scene_spatial_binning,7,1577.94919921875,1660.97765625,1618.3042594822396,16010.501225426291,126.14842178357073,9.893381378449002
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,17738.54077538673,1468,single_scene_spatial_binning,8,1660.97765625,1744.0061132812502,1702.2338215258856,17738.54077538673,132.75749415697786,10.420742762287421
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,19391.96214733845,1427,single_scene_spatial_binning,9,1744.0061132812502,1827.0345703125001,1784.9211632796075,19391.96214733845,138.8381127699124,10.864324176485045
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,21279.06878579098,1408,single_scene_spatial_binning,10,1827.0345703125001,1910.06302734375,1869.0990767045455,21279.06878579098,145.38539837278532,11.384666040983033
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,22468.862940099454,1574,single_scene_spatial_binning,11,1910.06302734375,1993.0914843750002,1952.791296060991,22468.862940099454,149.3583397855694,11.506023703312168
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,23590.12090083567,2088,single_scene_spatial_binning,12,1993.0914843750002,2076.1199414062503,2036.7998084291187,23590.12090083567,153.0454584637108,11.581953613315363
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,24291.18182205577,3326,single_scene_spatial_binning,13,2076.1199414062503,2159.1483984375,2122.529840649429,24291.18182205577,155.37651422159308,11.44444773253384
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,25241.936603667058,4909,single_scene_spatial_binning,14,2159.1483984375,2242.17685546875,2202.1602413933592,25241.936603667058,158.3800275894905,11.462352343486087
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,26469.79512499462,4392,single_scene_spatial_binning,15,2242.17685546875,2325.2053125,2280.7543829690344,26469.79512499462,162.2331087342795,11.605719284220706
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,28328.702181169225,3062,single_scene_spatial_binning,16,2325.2053125,2408.2337695312503,2364.107772697583,28328.702181169225,167.81282283770946,11.982830270400298
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,30156.025588917564,2410,single_scene_spatial_binning,17,2408.2337695312503,2491.2622265625005,2448.910373443983,30156.025588917564,173.15063672549277,12.314058495537406
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,31322.799922945418,2616,single_scene_spatial_binning,18,2491.2622265625005,2574.29068359375,2533.4635894495414,31322.799922945418,176.50652639154038,12.36362742823199
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,32621.342985909658,3040,single_scene_spatial_binning,19,2574.29068359375,2657.3191406250003,2617.0481907894737,32621.342985909658,180.1148028011403,12.464937826027926
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,33777.34812760667,3572,single_scene_spatial_binning,20,2657.3191406250003,2740.3475976562504,2700.275230963046,33777.34812760667,183.34984209220028,12.508853816194161
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,34951.86975709505,4382,single_scene_spatial_binning,21,2740.3475976562504,2823.3760546875,2783.4851380648106,34951.86975709505,186.50192279408793,12.556873136888736
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,36177.72429304158,5479,single_scene_spatial_binning,22,2823.3760546875,2906.40451171875,2866.5848238729695,36177.72429304158,189.7538434775546,12.620496694098444
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,37493.398935536214,6474,single_scene_spatial_binning,23,2906.40451171875,2989.4329687500003,2948.5058117083718,37493.398935536214,193.1962879637742,12.716067503293285
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,39010.99605437723,6398,single_scene_spatial_binning,24,2989.4329687500003,3072.4614257812505,3030.5149265395435,39010.99605437723,197.0827440260467,12.87272856264158
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,40300.46879865092,5958,single_scene_spatial_binning,25,3072.4614257812505,3155.4898828125006,3113.960221550856,40300.46879865092,200.31442486758323,12.941870136857414
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,41629.05924370626,6409,single_scene_spatial_binning,26,3155.4898828125006,3238.5183398437503,3197.6320408800125,41629.05924370626,203.58964650290827,13.018714696219277
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,42980.9932468326,7011,single_scene_spatial_binning,27,3238.5183398437503,3321.5467968750004,3280.3869276850664,42980.9932468326,206.86923172802813,13.102415719344371
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,44233.68138688546,7735,single_scene_spatial_binning,28,3321.5467968750004,3404.5752539062505,3362.837152553329,44233.68138688546,209.8754082732609,13.153679283369339
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,45829.62904922281,6745,single_scene_spatial_binning,29,3404.5752539062505,3487.6037109375,3444.6834321719793,45829.62904922281,213.61532863289509,13.30445306561184
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,47340.12706895469,4762,single_scene_spatial_binning,30,3487.6037109375,3570.6321679687503,3526.2485825283493,47340.12706895469,217.10395672377436,13.425068018038429
4,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,48530.096470105564,2495,single_scene_spatial_binning,31,3570.6321679687503,3653.6606250000004,3607.9205911823647,48530.096470105564,219.82556387298126,13.450987970387006
5,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,10398.514396987955,89913,single_scene_spatial_binning,0,1289.625,1657.5870507812501,1467.2692630654076,10398.514396987955,100.94424316944072,7.086984412979155
5,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,17254.354683250534,45206,single_scene_spatial_binning,1,1657.5870507812501,2025.5491015625,1828.8977265186038,17254.354683250534,130.80917355164902,9.434291722859234
5,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,24236.76269781085,11785,single_scene_spatial_binning,2,2025.5491015625,2393.51115234375,2175.9967013152313,24236.76269781085,155.06322325499195,11.13823503646007
5,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,34328.01854593699,5015,single_scene_spatial_binning,3,2393.51115234375,2761.473203125,2560.2113160518443,34328.01854593699,184.56218722025628,13.408275453947665
