run_seed,model,epoch,train_l1,validation_l1,validation_psnr,is_best,mean_real_shift_DN,mean_absolute_real_shift_DN,mean_predicted_residual_DC_DN,real_bias_available_for_epoch
20260719,CG_NC,5,0.0010701931966468,0.0015924074985564,54.35711242806198,False,,,,False
20260719,CG_NC,6,0.0010593147133477,0.0015372912803441,54.53528816679604,False,,,,False
20260719,CG_NC,7,0.0010302176276066,0.0016242287402303,54.21050888452775,False,,,,False
20260719,CG_NC,8,0.0010015182371716,0.0020176808998529,52.15676006088909,False,,,,False
20260719,CG_NC,9,0.0010231048039471,0.0021762866934793,51.48489128830087,False,,,,False
20260719,CG_NC,10,0.0009586279532716,0.0022602342974601,51.1629388271234,False,,,,False
20260719,CG_NC,11,0.0009651491177889,0.0023238994559257,50.96982744004991,False,,,,False
20260719,CG_NC,12,0.0009579610452055,0.002259754596684,51.176216940594536,False,,,,False
20260719,CG_NC,13,0.0009510693097642,0.0023224826108138,50.97373685266218,False,,,,False
20260719,CG_NC,14,0.0009519823411634,0.0023217483803741,50.96210160214677,False,,,,False
20260719,CG_NC,15,0.0009528741252142,0.0021002378591344,51.866904821151344,False,,,,False
20260719,CG_NC,16,0.0009507767984177,0.0024253047284327,50.62706955477723,False,,,,False
20260719,CG_NC,17,0.0010572881864694,0.0024064980680122,50.76310250697992,False,,,,False
20260719,CG_NC,18,0.0009355203310648,0.0021976754347929,51.44728779589009,False,,,,False
20260719,CG_NC,19,0.0009491358196828,0.0020794520148625,51.94687913421892,False,,,,False
20260719,CG_NC,20,0.0009255566680803,0.0022752137663654,51.11074962778988,False,,,,False
20260719,CG_NC,21,0.0009254690081191,0.0018880703351181,52.81974225166516,False,,,,False
20260719,CG_NC,22,0.000921932417356,0.0021496285777937,51.53437169392904,False,,,,False
20260719,CG_NC,23,0.0009241248271428,0.0020971838494317,51.789729811187485,False,,,,False
20260719,CG_NC,24,0.0009373289855041,0.0023862617368945,50.68599612896259,False,,,,False
20260719,CG_NC,25,0.0009521857524911,0.0021072910416027,51.74394209772094,False,,,,False
20260719,CG_NC,26,0.0009158819110598,0.0020190600592356,52.13149590777536,False,,,,False
20260719,CG_NC,27,0.0009127216506749,0.0021200838019179,51.75720938658103,False,,,,False
20260719,CG_NC,28,0.0009149949865726,0.002118155792053,51.754307380089394,False,,,,False
20260719,CG_NC,29,0.0009195472009014,0.0020416147427824,51.952461438301285,False,,,,False
20260719,CG_NC,30,0.0009255136925882,0.0020565363900879,51.983438084268165,False,,,,False
20260720,G,1,0.0126788139917577,0.0016150500408461,51.59967702881903,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,2,0.0016273880455022,0.0014734583599373,52.60621603941306,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,3,0.0013973619199047,0.0016402483700862,54.24540143135266,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,4,0.0012493134258935,0.0011932812034128,57.15722871438051,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,5,0.0012693328503519,0.0016383845249636,54.27965043548845,False,,,,False
20260720,G,6,0.001254639729547,0.0012053112010869,57.0451777857593,False,,,,False
20260720,G,7,0.0012229274376295,0.0012377250460016,56.75621613070496,False,,,,False
20260720,G,8,0.001229059677571,0.0012765806720544,56.429059281308426,False,,,,False
20260720,G,9,0.0012877533584833,0.0011864216892749,57.22999664045807,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,10,0.0012032047558265,0.001223054568733,56.91174580500676,False,,,,False
20260720,G,11,0.0011923862287464,0.0012853400832495,56.386766678247696,False,,,,False
20260720,G,12,0.0012550847682481,0.0015470531030804,54.73761697100778,False,,,,False
20260720,G,13,0.0011259628273546,0.0011814909616015,57.27643519996578,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,14,0.0012496603458809,0.0012705164103824,56.49502230913211,False,,,,False
20260720,G,15,0.0012150273084019,0.0013303594428918,56.0232170300606,False,,,,False
20260720,G,16,0.0011543086000407,0.0011949824342408,57.15177972907694,False,,,,False
20260720,G,17,0.0011805474416663,0.00118086732124,57.27963664389064,True,-7.796047694224139,7.796047694224139,7.795862913131714,True
20260720,G,18,0.0011514905366736,0.0012866847896669,56.369733272454674,False,,,,False
20260720,G,19,0.0011542473376418,0.0011861685705251,57.22922672369541,False,,,,False
20260720,G,20,0.0011895810021087,0.0012847999718764,56.352532998109474,False,,,,False
20260720,G,21,0.0011546514245371,0.001205001228875,57.0577251401722,False,,,,False
20260720,G,22,0.0011015085115407,0.0014680789118935,55.11085868900658,False,,,,False
20260720,G,23,0.0011547691429344,0.0012570381105845,56.649688068618126,False,,,,False
20260720,G,24,0.0011187489524794,0.0013263160427514,56.02656923603808,False,,,,False
20260720,G,25,0.0011194623595414,0.0013459896784212,55.91643429617597,False,,,,False
20260720,G,26,0.0010837469381901,0.0014149113379132,55.44647510235127,False,,,,False
20260720,G,27,0.0010606051872794,0.0018553792789546,53.13570087791508,False,,,,False
20260720,G,28,0.0010800093881941,0.0016862553918463,53.85055235512236,False,,,,False
20260720,G,29,0.0010378708500259,0.0019055431615163,52.48190323919312,False,,,,False
20260720,G,30,0.0010332978947553,0.0025642856659017,50.13969939794296,False,,,,False
20260720,CG_NC,1,0.0126207924991225,0.0016830993635166,51.14146172287118,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,2,0.0020272324203203,0.0019846100481545,50.982770251412674,False,,,,False
20260720,CG_NC,3,0.0021637093927711,0.0029912115846816,49.142443958510704,False,,,,False
20260720,CG_NC,4,0.0018603852232142,0.0014811037158052,53.37509083544087,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,5,0.0014484887760287,0.0017578912228266,52.526370382716514,False,,,,False
20260720,CG_NC,6,0.0017878720463098,0.0013375640727388,54.323745923164566,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,7,0.0018317011852438,0.001533610599999,53.73943775535648,False,,,,False
20260720,CG_NC,8,0.0016415840038098,0.0016493872504553,53.4827514713646,False,,,,False
20260720,CG_NC,9,0.0016242181591223,0.001203293506649,56.992599389491936,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,10,0.0014557524114691,0.0013560164629274,55.838771363608856,False,,,,False
20260720,CG_NC,11,0.0013687195372767,0.0011906931594682,57.20176550058218,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,12,0.0012870200917435,0.0012657921686649,56.55222366202591,False,,,,False
20260720,CG_NC,13,0.0014169549293971,0.0012175113332863,56.92361619737413,False,,,,False
20260720,CG_NC,14,0.0012338136516821,0.0011807524556349,57.28562249077691,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,15,0.0012428379167492,0.0011970148845695,57.13296267517612,False,,,,False
20260720,CG_NC,16,0.0011681691689106,0.0011849609600642,57.24553970597748,False,,,,False
20260720,CG_NC,17,0.0013947303507787,0.0012269550596133,56.83479879656409,False,,,,False
20260720,CG_NC,18,0.0011839268018957,0.0011814925222633,57.279537950825485,False,,,,False
20260720,CG_NC,19,0.001217735891696,0.0012977468402077,56.31289636986888,False,,,,False
20260720,CG_NC,20,0.0014155116828624,0.0012959128387001,56.31110587486854,False,,,,False
20260720,CG_NC,21,0.0014354477842183,0.0012061313007615,57.01460132435856,False,,,,False
20260720,CG_NC,22,0.0012491715253175,0.0011659290927112,57.39310409676315,True,-2.890306027627166,2.8903060276271666,2.8902205005288124,True
20260720,CG_NC,23,0.0011979684381124,0.0013558734924747,55.85122683924487,False,,,,False
20260720,CG_NC,24,0.0014008392393589,0.0012033998898556,57.04196587587014,False,,,,False
20260720,CG_NC,25,0.0012960267652912,0.0011704604451855,57.33877556955712,False,,,,False
20260720,CG_NC,26,0.0012642422570691,0.001223194210404,56.87839762369792,False,,,,False
20260720,CG_NC,27,0.001169708770855,0.0012060614202259,57.03546455578926,False,,,,False
20260720,CG_NC,28,0.0012363125112218,0.0012428724519414,56.73496040931115,False,,,,False
20260720,CG_NC,29,0.0010578266853311,0.0013133487708938,56.2051877730932,False,,,,False
20260720,CG_NC,30,0.0010997489653527,0.0015688930622214,54.44666864118005,False,,,,False
20260721,G,1,0.0080660153653783,0.0017068073059965,47.416954888237846,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,2,0.001446391371234,0.0015092637463528,50.530470399775055,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,3,0.0019843892714319,0.0012154194589059,56.95786816849668,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,4,0.0011243781664719,0.0012017208092814,57.08595702994583,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,5,0.0011191583843901,0.0012008224924405,57.09390092507387,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,6,0.0011746708660696,0.0011982923327809,57.11708672026284,True,-3.3441913523408586,12.656963023853024,3.3443033695220947,True
20260721,G,7,0.0011732306346918,0.0012321819299553,56.80474488348023,False,,,,False
20260721,G,8,0.001153272751253,0.001216309889355,56.95059331258138,False,,,,False
20260721,G,9,0.0012595210263195,0.0014659574227487,55.17832265348516,False,,,,False
20260721,G,10,0.001174497140261,0.0012632847124806,56.53495006072215,False,,,,False
20260721,G,11,0.0011272267694585,0.0013043132961855,56.25397615351228,False,,,,False
20260721,G,12,0.0012097529438324,0.001332745497298,56.04468066875752,False,,,,False
20260721,G,13,0.0011294901440851,0.0012281479977636,56.88681124825763,False,,,,False
20260721,G,14,0.0011100414255633,0.0012845185219158,56.43458394107655,False,,,,False
20260721,G,15,0.001168131805025,0.0013948965237603,55.64741803030682,False,,,,False
20260721,G,16,0.0011410449453008,0.001531031620032,54.85765972300472,False,,,,False
20260721,G,17,0.0011616048309952,0.0018030724281238,53.45004138783512,False,,,,False
20260721,G,18,0.0011204196163453,0.0023491135072042,51.33321273021209,False,,,,False
20260721,G,19,0.001055393689312,0.0029091253980166,49.51873022878272,False,,,,False
20260721,G,20,0.0010690020859086,0.0029405447222594,49.36420437413403,False,,,,False
20260721,G,21,0.0010566887259483,0.0027178275084489,49.7580313397269,False,,,,False
20260721,G,22,0.001006629699065,0.0026830295379408,49.84556657840045,False,,,,False
20260721,G,23,0.0009640601048401,0.0025325564281521,50.20525265555096,False,,,,False
20260721,G,24,0.0009368447998228,0.0025052822177083,50.38578838772244,False,,,,False
20260721,G,25,0.0009571057810292,0.0024484928187906,50.621359018179085,False,,,,False
20260721,G,26,0.0009801405121106,0.0023934135171704,50.7808352739383,False,,,,False
20260721,G,27,0.0008745349834983,0.0026435722362122,49.99344905625042,False,,,,False
20260721,G,28,0.000915767851596,0.0024198117968427,50.7404048952282,False,,,,False
20260721,G,29,0.0009393884144568,0.0023674986347094,50.77137146648179,False,,,,False
20260721,G,30,0.000991968101589,0.002460947792587,50.448845692169975,False,,,,False
20260721,CG_NC,1,0.0082333755974347,0.001734831277878,47.11084737533178,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,2,0.0020152055006474,0.0015654243154721,48.417532896384216,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,3,0.0017488696569732,0.0014748754697199,49.21455145289755,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,4,0.001538449395836,0.001280588542139,54.145359463161896,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,5,0.0014803364446076,0.0014398348901786,55.2957636841342,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,6,0.0012602507726599,0.0012042705341775,57.10275431575938,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,7,0.0013246277149301,0.0012236753116465,56.90619972424629,False,,,,False
20260721,CG_NC,8,0.0013199395185802,0.001362474151672,55.88506793160724,False,,,,False
20260721,CG_NC,9,0.0013620852201711,0.0015299810468752,54.77162649692633,False,,,,False
20260721,CG_NC,10,0.0014023967847848,0.0016360924893623,54.23214940128163,False,,,,False
20260721,CG_NC,11,0.0014448778276952,0.001232276613422,56.84888546283428,False,,,,False
20260721,CG_NC,12,0.0013650441705249,0.0012606063396988,56.57088385687934,False,,,,False
20260721,CG_NC,13,0.0012364800968983,0.0013158959187328,56.145086369962776,False,,,,False
20260721,CG_NC,14,0.0013160253770183,0.0012095674203756,57.01741960313585,False,,,,False
20260721,CG_NC,15,0.0012549143346647,0.0011940475346313,57.17607928545047,True,1.3510220352673787,10.797341738068791,-1.3509480953216553,True
20260721,CG_NC,16,0.001258674149091,0.0011987006585272,57.14100490472256,False,,,,False
20260721,CG_NC,17,0.0012969533598516,0.0012379197580899,56.822438036274704,False,,,,False
20260721,CG_NC,18,0.0012546224880497,0.0013067599726267,56.24233829465687,False,,,,False
20260721,CG_NC,19,0.0013806026669529,0.0013752903637046,55.76885868952824,False,,,,False
20260721,CG_NC,20,0.001274184413099,0.0016089408627599,54.48754188341972,False,,,,False
20260721,CG_NC,21,0.0013230552105233,0.0021889364440392,51.98463055211255,False,,,,False
20260721,CG_NC,22,0.0011724309894877,0.0029467314891676,49.56704891237438,False,,,,False
20260721,CG_NC,23,0.0011431583048154,0.0035806468839191,47.90272802369208,False,,,,False
20260721,CG_NC,24,0.0013570615028341,0.0013903372579763,55.65258159800472,False,,,,False
20260721,CG_NC,25,0.0012546213937457,0.0012661366087671,56.53396228236011,False,,,,False
20260721,CG_NC,26,0.0011717762344051,0.0011951498240511,57.17356145483816,False,,,,False
20260721,CG_NC,27,0.0012018714849061,0.0021161931650474,52.30844494420239,False,,,,False
20260721,CG_NC,28,0.0013994502555578,0.0012048790300997,57.09018951807267,False,,,,False
20260721,CG_NC,29,0.0011724042876934,0.0012340997136794,56.86421572041308,False,,,,False
20260721,CG_NC,30,0.0011582273613506,0.0012941559757758,56.425701989067925,False,,,,False
