source_pair_key,evidence,clean_path,clean_raw_min_dn,clean_raw_max_dn,clean_raw_mean_dn,clean_raw_std_dn,clean_raw_p1_dn,clean_raw_p50_dn,clean_raw_p99_dn,dark_mean_dn,dark_p50_dn,dark_to_clean_mean_ratio,pixel_dark_clean_ratio_p50,difference_mean_dn,difference_negative_ratio,difference_zero_ratio,difference_nonpositive_ratio,difference_positive_ratio,crop_top,crop_left,crop_size,warning
15ms_to_500ms_020,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621220020.tif,1.0,65535.0,17365.809596776962,7224.601118860589,7343.0,15479.0,40656.0,27404.98828125,27395.421875,1.5781002393540164,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9862060546875,0.0137939453125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_021,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621220021.tif,1.0,65535.0,17358.5146112442,7216.165805138838,7357.0,15448.0,40451.0,27404.98828125,27395.421875,1.5787634423223094,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9868354797363281,0.013164520263671875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_022,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621230022.tif,1.0,65535.0,17308.125658750534,7175.310622052729,7368.0,15395.0,40198.96999999974,27404.98828125,27395.421875,1.5833596786602226,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9872817993164062,0.01271820068359375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_023,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621230023.tif,1.0,65535.0,17216.067074775696,7165.222564258096,7315.0,15304.0,40149.0,27404.98828125,27395.421875,1.5918262958793132,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9875297546386719,0.012470245361328125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_024,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621240024.tif,1.0,65535.0,17146.34234881401,7117.6983921216215,7321.0,15248.0,39964.96999999974,27404.98828125,27395.421875,1.5982993762600084,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9877700805664062,0.01222991943359375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_025,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621240025.tif,1.0,65535.0,17097.3954474926,7093.46554726066,7300.0,15205.0,39833.0,27404.98828125,27395.421875,1.6028750323645962,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.98822021484375,0.01177978515625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_026,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621250026.tif,1.0,65535.0,17110.638546943665,7089.843200599469,7308.0,15224.0,39772.0,27404.98828125,27395.421875,1.6016344571865866,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9879913330078125,0.0120086669921875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_027,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621250027.tif,1.0,65535.0,17144.744963169098,7072.493471780195,7379.0,15255.0,39675.0,27404.98828125,27395.421875,1.5984482907224513,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9879684448242188,0.01203155517578125,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_028,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621260028.tif,1.0,65535.0,17104.811000823975,7076.282329060949,7313.0,15214.0,39633.0,27404.98828125,27395.421875,1.6021801281481476,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.98809814453125,0.01190185546875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_029,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621260029.tif,1.0,65535.0,17087.326666116714,7077.258440745965,7296.0,15200.0,39611.0,27404.98828125,27395.421875,1.6038195334319134,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9881248474121094,0.011875152587890625,768,768,512,raw pixel comparison requires remounted source volume
