absolute_path,size_bytes,modified_time_ns,sha256
D:\iccd\data\20260319\2\82-Camera1[20600555].tif,52469894,1784105817387812000,806ebb23ebf0330e19c3bc022f4d34b94c9fee35310c994c735dc418c8890d2a
D:\iccd\data\20260319\2\83-Camera1[20600555].tif,52469894,1784105818263939400,b7fc6337754e3756325e020be02ed3adaaf897140ca434345e0534435efe8a12
D:\iccd\data\20260319\2\84-Camera1[20600555].tif,52469894,1784105814527399000,dcd606efc2af82d103488e1ac6cb5807133c7e67d75bb75bb83ce646aab72494
D:\iccd\data\20260319\2\85-Camera1[20600555].tif,52469894,1784105819410587000,ffd6d3a778e698773ebc12a289b67e56604311a640e4c9b7e761129251894b18
D:\iccd\data\20260319\2\86-Camera1[20600555].tif,52469894,1784105817085492800,40c4dd347f3efef22d25d671ef6272aac4a688ddf01fc969783a23f663357ef0
D:\iccd\data\20260319\2\87-Camera1[20600555].tif,52469894,1784105817693713700,16e5a3f8174d8c7356e6d30c742c8bd444db55e4e7415ad107ebc765af8c97de
D:\iccd\data\20260319\2\88-Camera1[20600555].tif,52469894,1784105817802215100,6fab3dd291900944da46ae3c13786aad5b88fac8465b0c2bfef6b72e9649d0f5
D:\iccd\data\20260319\2\89-Camera1[20600555].tif,52469894,1784105829296325400,6fbbf66aaf4875174307fca6f474708519c685604af28ff0c7aaef0df7be0676
D:\iccd\data\20260319\2\90-Camera1[20600555].tif,52469894,1784105829929640000,effb6e87bb400298ccb4f3ef4e6a747ec91b5258665a6cf978afe10b6e91916b
D:\iccd\data\20260319\2\91-Camera1[20600555].tif,52469894,1784105829321491300,a07753e60c212686218ecfa29996104745a066ad2f1e760ea0f487c3d004d36b
D:\iccd\data\20260319\2\92-Camera1[20600555].tif,52469894,1784105829353319000,c6dcf58cfbd82aba3f4c16d83b66133ed5f31ed042536665d82b4957e2f2105f
D:\iccd\data\20260319\2\93-Camera1[20600555].tif,52469894,1784105829053678000,31b323f9f805201b74b1857399b8afd46cf69e38801c6fd4344680f64f179d3a
D:\iccd\data\20260319\2\94-Camera1[20600555].tif,52469894,1784105829234995000,d64fbdbedbdd5a3242f0ce1dc5c37af80d1a75eb60f933325ba690362b7b0b6d
D:\iccd\data\20260319\2\95-Camera1[20600555].tif,52469894,1784105831987422900,66258db698297b6f2f3a1f64060518a7af5b4dc7e5caa8289fc58b4e957c6006
D:\iccd\data\20260319\2\96-Camera1[20600555].tif,52469894,1784105840785004900,5773f51f891e4b6fcf8b7ea345ff08b34f2e0ae8a327c81603a57e1443830c48
D:\iccd\data\20260319\2\97-Camera1[20600555].tif,52469894,1784105841417937900,09e80593c2927adcb0c874b2c13e459698b4de7b781b390b4b0fd5b610de665a
D:\iccd\data\20260319\2\98-Camera1[20600555].tif,52469894,1784105842917661300,f4d3ac96211694c22633c9c8c1d6b31ad9dffdf2ea877b7382546098f594853f
D:\iccd\data\20260319\2\99-Camera1[20600555].tif,52469894,1784105843561907700,8ba245617c5fe189f84d0f43a36b34b775fbeee810db51b5b1faea5ba47c9a76
