folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,mean_signal,frame_mean_std,temporal_std_mean,temporal_var_mean,temporal_fano_approx,observed_stable_component_std,stable_to_temporal_std_ratio
13,16,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,37.9317626953125,1048576,,936.141845703125,1.8838024037417553,37.9317626953125,1584.071044921875,1.692127162344824,16.208687581563638,0.4273117416598903
13,32,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.25226593017578,2097152,,935.92529296875,2.291610554033093,38.25226593017578,1581.0865478515625,1.6893298639642107,14.604797278553841,0.381802147491416
13,64,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.47244644165039,4194304,,935.1576538085938,2.903908974580077,38.47244644165039,1586.504150390625,1.6965098279731854,13.69919804447944,0.3560781627250157
13,128,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.54950714111328,8388608,,935.0457763671875,3.011005672202944,38.54950714111328,1586.414794921875,1.6966172512808595,13.243263169947443,0.3435391047016376
13,16,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,37.987125396728516,4194304,,936.1431884765625,1.8385064239654272,37.987125396728516,1589.149169921875,1.6975492525966942,16.122347261025045,0.4244160907846298
13,32,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.31718444824219,8388608,,936.1087646484375,2.2404819691873668,38.31718444824219,1587.4647216796875,1.6958122620247782,14.472104408917636,0.37769227090435525
13,64,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.50658416748047,16777216,,935.3221435546875,2.6877314474478933,38.50658416748047,1588.9033203125,1.698776545879562,13.58479544393812,0.3527914962504187
13,128,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.584720611572266,33554432,,935.1195068359375,2.762870247134584,38.584720611572266,1588.80126953125,1.6990355328027587,13.110510869769982,0.3397850408650594
13,16,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.04762268066406,16777216,,936.1398315429688,1.971665619671178,38.04762268066406,1596.375244140625,1.7052743514923834,18.78071851146381,0.4936108273857604
13,32,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.38818359375,33554432,,936.2728271484375,2.318974568761391,38.38818359375,1620.3211669921875,1.7306079168474044,18.28478478454803,0.476312840900474
13,64,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.58048629760742,67108864,,935.5625,2.605959000425004,38.58048629760742,1621.436279296875,1.7331137997695236,17.835103868562594,0.46228302388372544
13,128,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,38.66014099121094,134217728,,935.3789672851562,2.6497437030047792,38.66014099121094,1615.9862060546875,1.727627264000735,18.77479897735442,0.48563710571109175
