variant,pair_key,source_pair_key,structure_source,strength_level,seed,p99_source_residual_std,physical_source_residual_std,p99_source_clean_std,physical_source_clean_std,common_clean_std,target_residual_std,realized_residual_mean,realized_residual_std,preclip_pixel_ratio,saved_zero_pixel_ratio,saved_one_pixel_ratio,signal_residual_correlation
P-H,factorial_15ms_to_500ms_011,15ms_to_500ms_011,p99,high,20260726,0.0012979069559106013,0.001068869124644353,0.03654353648377002,0.02415134823509463,0.035972535026734934,0.0015920408107648588,7.6174160312803e-09,0.0015920622182224434,0.0,0.0,0.0,0.012065212033782939
H-L,factorial_15ms_to_500ms_011,15ms_to_500ms_011,physical,low,20260726,0.0012979069559106013,0.001068869124644353,0.03654353648377002,0.02415134823509463,0.035972535026734934,0.0012776268507475427,-2.569237267380231e-09,0.0012776296208940603,0.0,0.0,0.0,-0.02691923730388264
H-H,factorial_15ms_to_500ms_011,15ms_to_500ms_011,physical,high,20260726,0.0012979069559106013,0.001068869124644353,0.03654353648377002,0.02415134823509463,0.035972535026734934,0.0015920408107648588,-6.527422158342233e-09,0.0015920433419820054,0.0,0.0,0.0,-0.02691518447131044
P-L,factorial_15ms_to_500ms_012,15ms_to_500ms_012,p99,low,20260727,0.0012631316566227865,0.0010376523197758911,0.037138742324123286,0.022850310843986348,0.036558440663157575,0.00124339492477658,1.0410701634100405e-08,0.0012434075537729268,0.0,0.0,0.0,0.005836249696443123
P-H,factorial_15ms_to_500ms_012,15ms_to_500ms_012,p99,high,20260727,0.0012631316566227865,0.0010376523197758911,0.037138742324123286,0.022850310843986348,0.036558440663157575,0.0016601503157012104,-1.1535405519680353e-08,0.001660146457498727,0.0,0.0,0.0,0.0058369823250624935
H-L,factorial_15ms_to_500ms_012,15ms_to_500ms_012,physical,low,20260727,0.0012631316566227865,0.0010376523197758911,0.037138742324123286,0.022850310843986348,0.036558440663157575,0.00124339492477658,-2.6850557333091274e-09,0.0012433894511145159,0.0,0.0,0.0,0.00663494130229178
H-H,factorial_15ms_to_500ms_012,15ms_to_500ms_012,physical,high,20260727,0.0012631316566227865,0.0010376523197758911,0.037138742324123286,0.022850310843986348,0.036558440663157575,0.0016601503157012104,2.146634869859554e-09,0.001660148497214011,0.0,0.0,0.0,0.006637424957406252
P-L,factorial_15ms_to_500ms_013,15ms_to_500ms_013,p99,low,20260728,0.0013576858766426215,0.0009487464263477804,0.04567709986883511,0.019155911587771253,0.0449633844731943,0.001336471716475131,-5.713019390896079e-09,0.0013364756486322449,0.0,0.0,0.0,-0.015745424613538908
P-H,factorial_15ms_to_500ms_013,15ms_to_500ms_013,p99,high,20260728,0.0013576858766426215,0.0009487464263477804,0.04567709986883511,0.019155911587771253,0.0449633844731943,0.002226928754603196,1.3092346762277884e-08,0.002226934728165669,3.814697265625e-06,0.0,3.814697265625e-06,-0.016308821435145605
H-L,factorial_15ms_to_500ms_013,15ms_to_500ms_013,physical,low,20260728,0.0013576858766426215,0.0009487464263477804,0.04567709986883511,0.019155911587771253,0.0449633844731943,0.001336471716475131,-1.2756416367665224e-08,0.0013364897989536124,0.0,0.0,0.0,-0.03619896418805178
H-H,factorial_15ms_to_500ms_013,15ms_to_500ms_013,physical,high,20260728,0.0013576858766426215,0.0009487464263477804,0.04567709986883511,0.019155911587771253,0.0449633844731943,0.002226928754603196,-4.257429964127368e-09,0.002226935468653386,0.0,0.0,0.0,-0.03620022747482676
P-L,factorial_15ms_to_500ms_014,15ms_to_500ms_014,p99,low,20260729,0.0017479029780100952,0.0008551663848703322,0.07939427484986286,0.014606107062135405,0.07815372030543484,0.0017205915756868149,-1.6996636986732483e-08,0.001720594709871466,0.0015106201171875,0.0,0.0015106201171875,-0.18087872770222793
P-H,factorial_15ms_to_500ms_014,15ms_to_500ms_014,p99,high,20260729,0.0017479029780100952,0.0008551663848703322,0.07939427484986286,0.014606107062135405,0.07815372030543484,0.004575786975506028,-2.2175754565978423e-09,0.0045757831354245986,0.00164794921875,0.0,0.00164794921875,-0.1980510259830289
H-L,factorial_15ms_to_500ms_014,15ms_to_500ms_014,physical,low,20260729,0.0017479029780100952,0.0008551663848703322,0.07939427484986286,0.014606107062135405,0.07815372030543484,0.0017205915756868149,-3.092225142609095e-09,0.0017206069642757029,0.001377105712890625,0.0,0.001377105712890625,-0.1278952220179322
