radial_bin,value,valid_sample_count,normalized_frequency_cycles_per_pixel
267,5879.569763527393,1044,0.521484375
268,6539.058947745187,1040,0.5234375
269,6771.948944115329,988,0.525390625
270,5980.543057132533,992,0.52734375
271,6580.676446331901,976,0.529296875
272,6177.059189226457,960,0.53125
273,6182.526250946157,916,0.533203125
274,7459.944798593938,896,0.53515625
275,6375.23825869272,936,0.537109375
276,6248.605971255666,872,0.5390625
277,6400.03193346942,872,0.541015625
278,6113.1590602380375,820,0.54296875
279,6020.548318773114,828,0.544921875
280,6324.678816309619,860,0.546875
281,6666.1322660578735,776,0.548828125
282,6876.269384005991,804,0.55078125
283,6148.4977686931925,752,0.552734375
284,6729.729471977815,768,0.5546875
285,6829.4088335669285,764,0.556640625
286,6023.489989852827,696,0.55859375
287,6118.229595815635,756,0.560546875
288,6086.49696882789,680,0.5625
289,6259.875818142782,700,0.564453125
290,6469.736700270549,704,0.56640625
291,5848.150881901629,628,0.568359375
292,6432.010208010721,708,0.5703125
293,6518.982919066366,616,0.572265625
294,6798.985763196886,636,0.57421875
295,6359.148708876005,628,0.576171875
296,6454.064472172277,588,0.578125
297,5925.731055956144,632,0.580078125
298,6357.438306197677,556,0.58203125
299,5939.51217073908,588,0.583984375
300,6211.15246931526,560,0.5859375
301,5624.502332675967,540,0.587890625
302,6396.466040478669,564,0.58984375
303,6116.914764621483,500,0.591796875
304,6070.585790890271,532,0.59375
305,6368.438663133873,508,0.595703125
306,6752.042171134138,500,0.59765625
307,6771.408778128875,496,0.599609375
308,6431.7080288961515,444,0.6015625
309,7518.153756585388,504,0.603515625
310,6692.887487632216,432,0.60546875
311,5874.539884353743,468,0.607421875
312,6574.288295985061,428,0.609375
313,6000.89531694324,424,0.611328125
314,6630.850625320744,424,0.61328125
315,6430.759531019248,396,0.615234375
316,6172.0018869288615,416,0.6171875
317,6739.235966296736,376,0.619140625
318,6574.591138201798,380,0.62109375
319,7111.249984476403,376,0.623046875
320,6824.192801646418,336,0.625
321,5810.497133315418,372,0.626953125
322,5836.9900058153,328,0.62890625
323,6106.025219808665,348,0.630859375
324,5875.315659407818,312,0.6328125
325,6166.578126019838,312,0.634765625
326,6850.171348754378,308,0.63671875
327,5966.964736246659,272,0.638671875
328,6529.185910599954,312,0.640625
329,5927.6740405339015,260,0.642578125
330,6223.085268452581,272,0.64453125
331,6504.740869193225,256,0.646484375
332,6494.09087902252,224,0.6484375
333,6391.969797761919,276,0.650390625
334,6202.566220313394,208,0.65234375
335,5813.987437769258,232,0.654296875
336,7068.518807666805,212,0.65625
337,5535.416174816017,176,0.658203125
338,6549.75407484173,232,0.66015625
339,5997.957553390006,168,0.662109375
340,5760.243431322825,196,0.6640625
341,6126.5169039505245,164,0.666015625
342,8980.452668396174,156,0.66796875
343,6980.6797396331995,160,0.669921875
344,6329.101222362604,120,0.671875
345,5963.114013100948,168,0.673828125
346,5752.790721493752,108,0.67578125
347,6574.942064492798,128,0.677734375
348,5163.430049452967,112,0.6796875
349,5268.526517705195,72,0.681640625
350,6049.186966679996,132,0.68359375
351,6189.606432077335,60,0.685546875
352,6018.206915957802,108,0.6875
353,7163.967536013309,48,0.689453125
354,5015.042362402943,72,0.69140625
355,6121.12829577774,48,0.693359375
356,5227.5261145337245,32,0.6953125
357,9601.584127313221,52,0.697265625
358,6118.418297013059,20,0.69921875
359,4473.696955688091,28,0.701171875
360,2127.7491698517924,8,0.703125
361,8861.024403438729,4,0.705078125
362,2071.692257478915,1,0.70703125
