folder,role,subset,frame_count,nps_2d_correlation_with_all200,low_fraction,mid_fraction,high_fraction,low_abs_error,mid_abs_error,high_abs_error
8,calibration,first50,50,0.9996366919278055,0.062013614796253023,0.10035528938619716,0.8376310958175498,0.01880803558108648,0.0020086808099445963,0.01679935477114225
8,calibration,middle50,50,0.849665701429154,0.019047461908806396,0.10495671472163975,0.8759958233695538,0.02415811730636015,0.0025927445254980003,0.02156537278086179
8,calibration,last50,50,0.9996186547116656,0.06069125516396152,0.10086773660779873,0.8384410082282397,0.017485675948794972,0.0014962335883430267,0.0159894423604523
8,calibration,first100,100,0.9997373338024704,0.04395600632983994,0.10238132013976953,0.8536626735303907,0.0007504271146733937,1.734994362777298e-05,0.0007677770583013332
8,calibration,last100,100,0.9997075242777255,0.04245219860713213,0.10234655196747693,0.8552012494253911,0.0007533806080344124,1.741822866482834e-05,0.0007707988366990604
9,evaluation,first50,50,0.9948843870852688,0.030943642091628806,0.10448995823183922,0.8645663996765317,0.006480853292229135,0.0005258533682207661,0.005954999924008719
9,evaluation,middle50,50,0.44853032744054505,0.017843343289036282,0.10560456543029698,0.8765520912806666,0.0066194455103633885,0.0005887538302369877,0.0060306916801261545
9,evaluation,last50,50,0.9941593275685962,0.028883059383955866,0.10447694244002156,0.8666399981760228,0.0044202705845561956,0.0005388691600384243,0.00388140142451765
9,evaluation,first100,100,0.9966052552799358,0.02487003148351144,0.1049749254803987,0.8701550430360897,0.00040724268411176934,4.088611966128475e-05,0.0003663565644507205
9,evaluation,last100,100,0.9959550571351666,0.024056496905366855,0.10505660226283901,0.8708869008317941,0.0004062918940328161,4.079066277902499e-05,0.0003655012312536732
10,calibration,first50,50,0.9700594210705011,0.023752785369169114,0.10710616656653968,0.8691410480642914,0.002550357921959085,0.0005671918361145334,0.001983166085844257
10,calibration,middle50,50,0.44453274958218447,0.01803812557548124,0.10821170026174393,0.8737501741627747,0.0031643018717287877,0.0005383418590897138,0.0026259600126390392
10,calibration,last50,50,0.9709153361292822,0.023317281960707512,0.10773315624536926,0.8689495617939235,0.0021148545134974835,5.979784271505084e-05,0.00217465235621217
10,calibration,first100,100,0.984109568325846,0.02133005620581565,0.10775378392016195,0.8709161598740223,0.00012762875860562045,8.042551750774007e-05,0.00020805427611336746
10,calibration,last100,100,0.9819783602958376,0.02107462746545617,0.10759282498853714,0.871332547546007,0.00012779998175386012,8.053341411706771e-05,0.0002083333958713407
11,evaluation,first50,50,0.7158437939208766,0.021290956875791994,0.11830773319549728,0.8604013099287108,0.00227031139978999,7.796857016312275e-05,0.002192342829627103
11,evaluation,middle50,50,0.911711896189816,0.028868110989752928,0.1174660953997875,0.8536657936104596,0.005306842714170944,0.0007636692255466593,0.004543173488624097
11,evaluation,last50,50,0.8949923211153749,0.022608087239943342,0.11865418169374245,0.8587377310663142,0.0009531810356386422,0.0004244170684082893,0.0005287639672305611
11,evaluation,first100,100,0.9759742190647126,0.02433481015335255,0.11792956916550133,0.8577356206811465,0.0007735418777705672,0.0003001954598328277,0.00047334641793717047
11,evaluation,last100,100,0.9574008130767522,0.022787226581887237,0.11853015405329657,0.8586826193648159,0.0007740416936947471,0.00030038942796241364,0.0004736522657322606
13,calibration,first50,50,0.9709636300765037,0.022261245783521157,0.11500436556064154,0.8627343886558372,5.9381282455674145e-06,0.00023651599724895667,0.00024245412549495082
13,calibration,middle50,50,0.9747202680684076,0.022799319209375894,0.11524072430209999,0.861959956488524,0.0005321352976091695,1.5725579051439897e-07,0.0005319780418182596
13,calibration,last50,50,0.9721125690366392,0.021796749395500796,0.11560064593628312,0.862602604668216,0.00047043451626592805,0.0003597643783926213,0.00011067013787380287
13,calibration,first100,100,0.9910692636664399,0.022654785676264676,0.11508832159758835,0.8622568927261469,0.00038760176449795236,0.0001525599603021538,0.00023504180419531284
13,calibration,last100,100,0.989572571415223,0.02187886963804157,0.11539372196165144,0.862727408400307,0.00038831427372515437,0.00015284040376094266,0.00023547386996480846
