folder,frame_count,crop_size,radius_px,psd_mean,psd_norm
5,128,512,15,44074740565.333336,0.0034056776555428645
5,128,512,16,203386480938.66666,0.015715776988988683
5,128,512,17,162386718649.3793,0.012547704471256808
5,128,512,18,65669864379.73333,0.0050743438734271
5,128,512,19,44739997286.4,0.0034570823812672966
5,128,512,20,31187279607.741936,0.00240985698236409
5,128,512,21,41134485646.22222,0.003178482660151495
5,128,512,22,36353515971.76471,0.0028090546979382624
5,128,512,23,83907880023.77142,0.006483604632847114
5,128,512,24,70267009886.3158,0.005429567648546983
5,128,512,25,27913662415.238094,0.0021569029142899975
5,128,512,26,27778497303.272728,0.0021464586372341395
5,128,512,27,24703229077.853657,0.0019088310948873915
5,128,512,28,28491032722.285713,0.002201516612033067
5,128,512,29,33927074112.0,0.0026215622993834703
5,128,512,30,41100229871.65958,0.0031758356990008473
5,128,512,31,32824917572.923077,0.002536398102160785
5,128,512,32,23349991034.88,0.0018042657019554846
5,128,512,33,22795971997.53846,0.0017614563687179453
5,128,512,34,22379185834.666668,0.0017292510895983136
5,128,512,35,22458758478.76923,0.0017353997083431217
5,128,512,36,27996187550.896553,0.002163279673561355
5,128,512,37,27712161271.017544,0.002141332818229625
5,128,512,38,22974172664.0,0.0017752260249924115
5,128,512,39,21399120516.129032,0.0016535209431810382
5,128,512,40,20966592026.033897,0.0016200992464175791
5,128,512,41,21022048210.82353,0.0016243843740661411
5,128,512,42,20642428532.363636,0.00159505096812995
5,128,512,43,22839397112.88889,0.0017648118495022078
5,128,512,44,21941472805.101448,0.0016954287808289513
5,128,512,45,20122613729.882355,0.0015548846135440002
5,128,512,46,19803067488.864864,0.0015301931127209198
5,128,512,47,19900212448.438354,0.0015376995532336583
5,128,512,48,19858118767.589745,0.001534446953071596
5,128,512,49,19965481350.736843,0.0015427429145628139
5,128,512,50,20263862741.333332,0.001565798996612303
5,128,512,51,19968872030.814816,0.001543004914139681
5,128,512,52,19402859296.820515,0.0014992688218520886
5,128,512,53,19050509734.697674,0.001472042591696898
5,128,512,54,19282493914.074074,0.001489968127412089
5,128,512,55,19161285681.02128,0.001480602305499562
5,128,512,56,19294455069.76744,0.001490892372005633
5,128,512,57,19191940346.31111,0.001482971007102263
5,128,512,58,18994414952.087914,0.0014677081192694674
5,128,512,59,18723912386.782608,0.0014468062482519465
5,128,512,60,18774613065.142857,0.0014507239154962132
5,128,512,61,18699119109.27835,0.0014448904590692794
5,128,512,62,18737668367.67347,0.0014478691799028006
5,128,512,63,18720683776.0,0.0014465567718520917
5,128,512,64,18741118511.505154,0.0014481357742742085
5,128,512,65,18601651399.11111,0.00143735907945375
5,128,512,66,18408792294.4,0.0014224567581886025
5,128,512,67,18539591404.679245,0.001432563672070094
5,128,512,68,18373004464.707966,0.0014196914143576643
5,128,512,69,18440155741.53846,0.0014248802277258062
5,128,512,70,18308830587.42857,0.0014147326661695494
5,128,512,71,18236502853.38318,0.0014091438653154797
