folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
1,128,512,116,0.00039836500128964745,0.0002406784979078864
1,128,512,117,0.00048212862001437384,0.0002912856091469027
1,128,512,118,0.0005042811719007829,0.0003046694227238661
1,128,512,119,0.0006169825614605335,0.00037275974457332537
1,128,512,120,0.0006283265094168971,0.00037961336962985407
1,128,512,121,0.0006702954759107765,0.0004049695826048713
1,128,512,122,0.0007316743333628961,0.0004420525873042159
1,128,512,123,0.0005926090855042197,0.00035803412469464943
1,128,512,124,0.0006770653209589066,0.00040905969125392
1,128,512,125,0.0005523444772413424,0.00033370762662331745
1,128,512,126,0.0006466360550229232,0.0003906753703567458
1,128,512,127,0.0006399683688601384,0.00038664698260936577
1,128,512,128,0.0005059304818263589,0.0003056658793256939
2,128,512,0,1.0,0.8275759858835088
2,128,512,1,0.0382115670090966,0.03162297523970688
2,128,512,2,0.010554725719818584,0.008734837543308891
2,128,512,3,0.008689616083185357,0.007191317596991316
2,128,512,4,0.007729734761462898,0.006396942865835687
2,128,512,5,0.00627689652555775,0.005194608830427226
2,128,512,6,0.00593096861715772,0.004908327200588451
2,128,512,7,0.00516816858026363,0.004277052208023847
2,128,512,8,0.004646561470086646,0.0038453826895752823
2,128,512,9,0.004316105544895264,0.003571905301493977
2,128,512,10,0.003839153240406252,0.0031771910278870713
2,128,512,11,0.003615724527530389,0.002992286790554146
2,128,512,12,0.003247600513217276,0.0026876361964815764
2,128,512,13,0.003022180375852926,0.002501083904064278
2,128,512,14,0.0028492002910826763,0.002357929739872326
2,128,512,15,0.0026917394186131024,0.002227618903100241
2,128,512,16,0.0026004385211572337,0.0021520604728761513
2,128,512,17,0.002320264070449948,0.0019201948256126987
2,128,512,18,0.0022706219895153265,0.0018791122315419205
2,128,512,19,0.002172216522333818,0.0017976742300228564
2,128,512,20,0.0021368697080502734,0.0017684220553443107
2,128,512,21,0.001988172473885981,0.0016453637951826456
2,128,512,22,0.0019962611658612796,0.0016520578024186111
2,128,512,23,0.0019492391053638595,0.0016131434743441848
2,128,512,24,0.0018861336778733192,0.0015609189379741006
2,128,512,25,0.0018265619517880611,0.0015116188080283109
2,128,512,26,0.0017656578468823493,0.0014612160333666137
2,128,512,27,0.0018200080989505811,0.001506194996804998
2,128,512,28,0.0018153375423690778,0.0015023297563374356
2,128,512,29,0.0016787380904789695,0.0013892833302683323
2,128,512,30,0.001697148837218761,0.0014045196221523669
2,128,512,31,0.0016411842728040102,0.0013582046925822882
2,128,512,32,0.0016556729372057442,0.0013701951633086885
2,128,512,33,0.0015916066453417047,0.0013171754386574054
2,128,512,34,0.001571657785183709,0.0013006662410449
2,128,512,35,0.0016226716223395924,0.001342884067622881
2,128,512,36,0.0015348754861683517,0.0012702260936742035
2,128,512,37,0.001525892324376386,0.0012627918446978664
2,128,512,38,0.0014054085009247025,0.001163082325721825
2,128,512,39,0.0014442239085880586,0.001195205024986297
2,128,512,40,0.0014460638396064963,0.0011967277077128383
2,128,512,41,0.0013406237802120397,0.0011094680466078551
2,128,512,42,0.0013247610070194118,0.0010963403964441196
2,128,512,43,0.0012580525218619113,0.0010411340560731058
2,128,512,44,0.0012415059844667075,0.0010274405390753116
2,128,512,45,0.0012314735891388417,0.00101913796962108
2,128,512,46,0.0011693014080631455,0.0009676857655728327
2,128,512,47,0.0011809515268768158,0.0009773271241357159
2,128,512,48,0.0011046721212266198,0.0009142001198021468
2,128,512,49,0.0010993422655307622,0.0009097892592200307
2,128,512,50,0.0010339334276813137,0.0008556584757512787
2,128,512,51,0.000995941810914898,0.0008242175260505037
2,128,512,52,0.001004404864296549,0.0008312213457964085
2,128,512,53,0.0009398798113331143,0.0007778219614760083
2,128,512,54,0.0009825265037133964,0.000813115339967291
2,128,512,55,0.0008942985609333518,0.0007401000132386218
2,128,512,56,0.0009372280229102425,0.0007756274050575957
2,128,512,57,0.0009099553011019864,0.0007530571554194015
2,128,512,58,0.0008629362576142311,0.0007141453241497228
2,128,512,59,0.0008517669557067899,0.0007049018781120416
