folder,frame_count,crop_size,frequency_cycles_per_pixel,horizontal_psd_norm,vertical_psd_norm
1,128,512,-0.369140625,0.0006677431037036309,0.0006459031962346676
1,128,512,-0.3671875,0.0007164687818707213,0.0006149612742383084
1,128,512,-0.365234375,0.0007243113914883367,0.0006219965471850461
1,128,512,-0.36328125,0.0006714910486222438,0.0006579054192334139
1,128,512,-0.361328125,0.0007005989858697915,0.0006118684637952545
1,128,512,-0.359375,0.0007011685623389455,0.0006588918363422709
1,128,512,-0.357421875,0.0006905024001314343,0.0007043474281178528
1,128,512,-0.35546875,0.0007207778750324772,0.0006524104281785709
1,128,512,-0.353515625,0.0007155731064040291,0.0007014708978451233
1,128,512,-0.3515625,0.0007151591407284207,0.0006896886177937198
1,128,512,-0.349609375,0.0006655260650791515,0.0006369044263464221
1,128,512,-0.34765625,0.0006593635579634087,0.0006253225891625244
1,128,512,-0.345703125,0.0007203107243444536,0.0006224232526928462
1,128,512,-0.34375,0.0007037759426951893,0.0006884772805284865
1,128,512,-0.341796875,0.0007760871325493041,0.0006256803350784968
1,128,512,-0.33984375,0.0007312654529568227,0.0006779433822836258
1,128,512,-0.337890625,0.0007059136259043191,0.0005961995445266713
1,128,512,-0.3359375,0.0007162034657445148,0.0006207128921144825
1,128,512,-0.333984375,0.0007031044525046131,0.0006667237031792641
1,128,512,-0.33203125,0.0007366797232032621,0.0006603919238649169
1,128,512,-0.330078125,0.0007205361274923084,0.0006643996030351164
1,128,512,-0.328125,0.0007261238891037325,0.0006077284437626352
1,128,512,-0.326171875,0.000759899804171363,0.0006606729638564835
1,128,512,-0.32421875,0.0006996170906197668,0.0006439249840664517
1,128,512,-0.322265625,0.0007247523302550711,0.0006300307644189331
1,128,512,-0.3203125,0.0006932476906226551,0.000615350722811821
1,128,512,-0.318359375,0.0007075825668884939,0.0006597036183341667
1,128,512,-0.31640625,0.0007205619795878566,0.0006317071140689007
1,128,512,-0.314453125,0.0007264542783312599,0.0007049886465261032
1,128,512,-0.3125,0.0007317233035333857,0.0006984642468177072
1,128,512,-0.310546875,0.0007585440638158555,0.0005812472712254609
1,128,512,-0.30859375,0.0007272657960929049,0.0005986049390850343
1,128,512,-0.306640625,0.0007357639251739753,0.0006697367340108521
1,128,512,-0.3046875,0.000728990800695423,0.0006555537881504089
1,128,512,-0.302734375,0.0006530148271872291,0.0006442740298851521
1,128,512,-0.30078125,0.0007134091074777233,0.0006648571215543974
1,128,512,-0.298828125,0.0007356425670230856,0.0006382466457751315
1,128,512,-0.296875,0.0006781453890878998,0.0006686116843985264
1,128,512,-0.294921875,0.0007251801630611608,0.0006932554092155636
1,128,512,-0.29296875,0.0007171872985177604,0.0006491419166462505
1,128,512,-0.291015625,0.0006987348671000088,0.0006957879029379438
1,128,512,-0.2890625,0.0007057119435764694,0.0006502785957759801
1,128,512,-0.287109375,0.0007097974603979787,0.0006457399902643761
1,128,512,-0.28515625,0.0007509516991616777,0.0006917178122915051
1,128,512,-0.283203125,0.0007323398511011963,0.0007120889357686226
1,128,512,-0.28125,0.0006970663966571877,0.0006859779922441515
1,128,512,-0.279296875,0.0007535961830876028,0.0006322992496621401
1,128,512,-0.27734375,0.000681322698819313,0.0006308013341582513
1,128,512,-0.275390625,0.0007597443179328814,0.000676083709441669
1,128,512,-0.2734375,0.0007561269482399093,0.0006373355840919327
1,128,512,-0.271484375,0.0007181722384471323,0.0006299939362780163
1,128,512,-0.26953125,0.000781549979270783,0.0006713492535597834
1,128,512,-0.267578125,0.0007625020777699745,0.0006768776424085763
1,128,512,-0.265625,0.000752431717792358,0.0006586890371149328
1,128,512,-0.263671875,0.0007388278967166884,0.0006919755371444586
1,128,512,-0.26171875,0.0007364501267015791,0.000665626392891359
1,128,512,-0.259765625,0.0007089675361657348,0.0006891844930417006
1,128,512,-0.2578125,0.0007160048557749156,0.000609519525694915
1,128,512,-0.255859375,0.0006900575447999033,0.000701870942023052
1,128,512,-0.25390625,0.0007106375704665843,0.0006953411082603487
1,128,512,-0.251953125,0.0006819671259623279,0.0007058854177685501
1,128,512,-0.25,0.000744348177162217,0.0006296133841650951
1,128,512,-0.248046875,0.0007042823835862435,0.0006820871532563863
1,128,512,-0.24609375,0.000745088352550976,0.0006641671329094814
1,128,512,-0.244140625,0.0007459429248464807,0.0006713444927511426
1,128,512,-0.2421875,0.0007490027445537205,0.000637432787942431
1,128,512,-0.240234375,0.0007892848487578619,0.0007811887871101839
1,128,512,-0.23828125,0.0007724257118819583,0.0006584412266058997
1,128,512,-0.236328125,0.0007258404294565071,0.0007148507097145519
1,128,512,-0.234375,0.000759685431066416,0.0006335724293507281
1,128,512,-0.232421875,0.0007219676111663038,0.0006769553381644083
1,128,512,-0.23046875,0.0006835457091671483,0.0007338108224825489
1,128,512,-0.228515625,0.0007322428088667298,0.0006351497317394443
1,128,512,-0.2265625,0.000758191725218125,0.000744565809795351
1,128,512,-0.224609375,0.0007366003124301062,0.0006605328085354361
1,128,512,-0.22265625,0.000768849957419882,0.0007294491363142742
1,128,512,-0.220703125,0.0007619793340049611,0.000750334603450847
1,128,512,-0.21875,0.0007551337323184937,0.0006713746124798836
1,128,512,-0.216796875,0.0007433647318936156,0.0007029071953408798
1,128,512,-0.21484375,0.0007798165879606084,0.0007540719664711657
1,128,512,-0.212890625,0.0007907667633934083,0.0007225672030828839
1,128,512,-0.2109375,0.0007801515718860598,0.0006776277583033637
1,128,512,-0.208984375,0.0007982697528692936,0.0007608650713487407
1,128,512,-0.20703125,0.0008146350565945309,0.0007586133290840701
1,128,512,-0.205078125,0.0007647515007111468,0.0007926138462169383
1,128,512,-0.203125,0.0007479920909233162,0.0007118310506190819
1,128,512,-0.201171875,0.000736441601599407,0.0007203492192794846
1,128,512,-0.19921875,0.0007588929425506913,0.000706546152286296
1,128,512,-0.197265625,0.0007622018585468876,0.0006941757200118457
1,128,512,-0.1953125,0.000749397833217376,0.0006687907276716364
1,128,512,-0.193359375,0.000782650547818091,0.0005991485288568303
1,128,512,-0.19140625,0.0007556591055793069,0.0006804496514843346
1,128,512,-0.189453125,0.0007155704077109713,0.0007447670621606223
1,128,512,-0.1875,0.0007845113174405918,0.0007109077583062771
1,128,512,-0.185546875,0.000766763563218301,0.0007247899156356066
1,128,512,-0.18359375,0.0008178769204478306,0.0006995685139774982
1,128,512,-0.181640625,0.000803236219981016,0.0007199844243210886
1,128,512,-0.1796875,0.0008319997624760392,0.0006812339345966907
1,128,512,-0.177734375,0.0008008469770605485,0.0007492568493465844
1,128,512,-0.17578125,0.0008059930387354016,0.0007449119542458223
1,128,512,-0.173828125,0.0008007709846319323,0.0007742932206540495
1,128,512,-0.171875,0.0008526557805713361,0.0007331720005082777
1,128,512,-0.169921875,0.0008389567855871629,0.0007374056978664761
1,128,512,-0.16796875,0.0008673697609342577,0.000775174074445384
1,128,512,-0.166015625,0.0008303206218160512,0.0008054384387971671
1,128,512,-0.1640625,0.0007827201049017234,0.0008089316861447884
1,128,512,-0.162109375,0.0008071209817179313,0.0007385804474356733
1,128,512,-0.16015625,0.0008380140283062014,0.0007631504518522422
1,128,512,-0.158203125,0.0008517172443231062,0.0007106638830784606
1,128,512,-0.15625,0.0007756769173650733,0.0007343774709184183
1,128,512,-0.154296875,0.0008044649695288416,0.000753184420297314
1,128,512,-0.15234375,0.0008148951690869439,0.0007972109840273706
1,128,512,-0.150390625,0.0007935585406024805,0.000741972403369822
1,128,512,-0.1484375,0.0007275191410934961,0.0007587563857733464
1,128,512,-0.146484375,0.0008387687074402146,0.0008311433029772002
1,128,512,-0.14453125,0.0008178571992293317,0.0007719393454188232
1,128,512,-0.142578125,0.0007831697902018551,0.0011188038000711192
1,128,512,-0.140625,0.0008473301381728039,0.0008024835956267448
1,128,512,-0.138671875,0.0007932781533135054,0.0008393442927804448
1,128,512,-0.13671875,0.0007872493422197342,0.0007747905808900874
1,128,512,-0.134765625,0.0008466585787849697,0.000763456914882544
1,128,512,-0.1328125,0.0007543910796679021,0.0008539001045324512
1,128,512,-0.130859375,0.0008633393389694814,0.0008593856701479647
