experiment,run_seed,source,split,content_id,condition_id,sigma_DN,residual_seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN
G,20260721,sCMOS,training,content_043,low,91.4432,3008588482,-0.4492105553044965,91.33506219513174,0.0011825680298618566,-0.011740955524146557,-0.0030303001403808594,0.0,0.0,0.0,0.0,-0.44921065804806926,2.067653042368503,0.5,0.5,512,512,262144,0.1786,-2.5151766814361505,-1.0274357276074397e-07
CG,20260721,sCMOS,training,content_043,low,55.29993549356029,3008588482,-0.27165840229020727,55.23453767019828,0.0011826021636070062,-0.011740836314857006,-0.003031015396118164,0.0,0.0,0.0,0.0,-0.27165832576069526,1.3924763764269457,0.5,0.5,512,512,262144,0.10800768651085994,-2.515176568131497,7.652951200531888e-08
CG,20260721,sCMOS,training,content_056,mid,88.23103152697934,3929778818,-0.4290010205520156,88.19629772631336,0.00039366875876719747,-0.008997137658298016,0.013731002807617188,0.0,0.0,0.0,0.0,-0.429001028023106,1.392551940794991,0.5,0.5,512,512,262144,0.17232623345113152,-2.489470186636861,-7.471090412991543e-09
G,20260721,sCMOS,training,content_056,mid,91.4432,3929778818,-0.44461936890931586,91.40720347439886,0.000393649014920182,-0.008997064083814621,0.013730764389038086,0.0,0.0,0.0,0.0,-0.44461937085266356,1.4217084638105015,0.5,0.5,512,512,262144,0.1786,-2.489470150668062,-1.9433477049801695e-09
CG,20260719,sCMOS,training,content_098,high,148.4405090006516,2805886898,-0.7198469232036078,148.1021442755192,0.0022794635198326763,0.004206425044685602,-0.011664390563964844,0.0,0.0,0.0,0.0,-0.7198468610635622,1.3891511393312668,0.5,0.5,512,512,262144,0.28992286914189763,-2.482891140440844,6.214004555360475e-08
G,20260719,sCMOS,training,content_098,high,91.4432,2805886898,-0.44344434181352743,91.23475519667308,0.002279500316337648,0.004206500947475433,-0.011663436889648438,0.0,0.0,0.0,0.0,-0.4434443593460635,1.1468671279628209,0.5,0.5,512,512,262144,0.1786,-2.4828910515874996,-1.7532536089603923e-08
CG,20260720,sCMOS,training,content_093,high,148.4405090006516,832461821,-0.7163891383621563,148.07239237970896,0.0024798932812943506,-0.0002239593886770308,-0.011406898498535156,0.0,0.0,0.0,0.0,-0.7163890234689596,1.3853900509656796,0.5,0.5,512,512,262144,0.28992286914189763,-2.470964572344696,1.1489319673430032e-07
G,20260720,sCMOS,training,content_093,high,91.4432,832461821,-0.44131425559247006,91.21642725563035,0.002479930102726658,-0.00022399460431188345,-0.011407613754272461,0.0,0.0,0.0,0.0,-0.4413143628231708,1.1454804041593005,0.5,0.5,512,512,262144,0.1786,-2.470964477001512,-1.0723070076323893e-07
CG,20260721,PMRID,validation,pmrid_gt_009,low,55.29993549356029,529168262,-0.2643826569818859,55.36525374303574,0.0011811632128043334,-0.005879220552742481,0.0011620521545410156,0.00023651123046875,0.0,0.00023651123046875,0.0,-0.2600051949503912,1.0127581590322654,0.5,0.5,512,512,262144,0.10800768651085994,-2.4478133503517157,0.004377462031494694
G,20260719,sCMOS,training,content_051,mid,91.4432,3268870362,-0.427915343544258,91.35417817530112,0.0009735204443730033,-0.0019364617764949799,-0.0067861080169677734,0.0,0.0,0.0,0.0,-0.42791526472831354,1.4189060345342244,0.5,0.5,512,512,262144,0.1786,-2.3959425730361588,7.881594443759354e-08
CG,20260719,sCMOS,training,content_051,mid,88.23103152697934,3268870362,-0.41288375744264916,88.14513507070623,0.0009735402022001651,-0.001936423941515386,-0.0067861080169677734,0.0,0.0,0.0,0.0,-0.41288379308181966,1.3900263171029852,0.5,0.5,512,512,262144,0.17232623345113152,-2.395942562974518,-3.563917050364296e-08
CG,20260719,sCMOS,training,content_060,high,148.4405090006516,1306239538,-0.6943897280166493,148.413654191838,0.0001809129394286699,0.00439884327352047,0.008255958557128906,0.0,0.0,0.0,0.0,-0.6943897922235021,1.3902838364714478,0.5,0.5,512,512,262144,0.28992286914189763,-2.395084354924732,-6.42068527234585e-08
G,20260719,sCMOS,training,content_060,high,91.4432,1306239538,-0.42776203427303694,91.42665337702712,0.00018094973680800888,0.004398799035698175,0.008255243301391602,0.0,0.0,0.0,0.0,-0.4277620536178084,1.1472347350578134,0.5,0.5,512,512,262144,0.1786,-2.395084178460453,-1.9344771451379472e-08
CG,20260720,PMRID,validation,pmrid_gt_034,high,148.4405090006516,3413302546,0.4525933888456031,148.57716341594886,0.0009206005572014869,0.0038004093803465366,0.004490375518798828,0.00909423828125,0.0,0.00909423828125,0.0,1.0609505124125285,1.0113035657138918,0.5,0.5,512,512,262144,0.28992286914189763,1.5610820567041548,0.6083571235669254
CG,20260721,PMRID,validation,pmrid_gt_016,high,148.4405090006516,1961452748,0.537538586776879,148.44802305640255,5.061998103851076e-05,0.0007932206499390304,0.013313531875610352,0.003021240234375,0.0,0.002666473388671875,0.0,0.7882682801669015,1.0118994034544428,0.5,0.5,512,512,262144,0.28992286914189763,1.8540744590720446,0.2507296933900225
CG,20260721,PMRID,validation,pmrid_gt_034,high,148.4405090006516,3573026783,0.18313968045054763,148.47739695227585,0.00024850326822918535,-0.0037118778564035892,0.006468534469604492,0.009021759033203125,0.0,0.009021759033203125,0.0,0.7826467947864435,1.0113006719673965,0.5,0.5,512,512,262144,0.28992286914189763,0.6316841475548214,0.5995071143358959
CG,20260719,PMRID,validation,pmrid_gt_034,high,148.4405090006516,197405135,0.1455926454468559,148.1862652444063,0.0017127653223298076,-0.004879823420196772,0.017200946807861328,0.0090179443359375,0.0,0.0090179443359375,0.0,0.7675065490296773,1.0109730867107192,0.5,0.5,512,512,262144,0.28992286914189763,0.5021771682853972,0.6219139035828214
CG,20260720,PMRID,validation,pmrid_gt_016,high,148.4405090006516,2406602858,0.50175097502383,148.23118996037178,0.0014101207392039447,-0.0025325347669422626,0.0062656402587890625,0.003078460693359375,0.0,0.00272369384765625,0.0,0.7248102319196058,1.0109562869703843,0.5,0.5,512,512,262144,0.28992286914189763,1.7306360705828172,0.22305925689577577
CG,20260721,PMRID,validation,pmrid_gt_034,mid,88.23103152697934,1013570209,0.3518963500421375,88.24157516899771,0.00011950038252870693,0.007297205738723278,0.019806861877441406,0.00896453857421875,0.0,0.00896453857421875,0.0,0.7088596805611402,1.009578500910483,0.5,0.5,512,512,262144,0.17232623345113152,2.042035869958991,0.35696333051900275
CG,20260721,sCMOS,training,content_007,high,148.4405090006516,2872886054,-0.6758137922746941,148.21638681197507,0.0015098451910828038,-0.0015806312439963222,0.014800548553466797,0.0,0.0,0.0,0.0,-0.6758138094307764,1.426957503035147,0.5,0.5,512,512,262144,0.28992286914189763,-2.3310123629603323,-1.715608233254784e-08
CG,20260719,PMRID,validation,pmrid_gt_029,high,148.4405090006516,2594772762,0.5953678296086578,148.6877861614802,0.001665833420360551,-0.002478422597050667,0.021000385284423828,0.0013275146484375,0.0,0.0013275146484375,0.0,0.670590110742697,1.0075313043480492,0.5,0.5,512,512,262144,0.28992286914189763,2.0535386924488024,0.07522228113403928
CG,20260721,PMRID,validation,pmrid_gt_010,high,148.4405090006516,1257750365,0.29458521400123594,148.14265886392195,0.002006528667510353,0.0020727920345962048,0.009781122207641602,0.0045623779296875,0.0,0.0045623779296875,0.0,0.6395316492450176,1.0091374891479985,0.5,0.5,512,512,262144,0.28992286914189763,1.0160813283654986,0.34494643524378166
CG,20260720,PMRID,validation,pmrid_gt_032,high,148.4405090006516,1569682516,0.5485296384078611,148.3829990311468,0.00038742773042188934,-0.006186531390994787,0.0005123615264892578,0.001087188720703125,0.0,0.001087188720703125,0.0,0.6050305129297229,1.0073259306926972,0.5,0.5,512,512,262144,0.28992286914189763,1.8919847200442574,0.05650087452186181
CG,20260719,PMRID,validation,pmrid_gt_026,high,148.4405090006516,3261552425,0.3204348479475665,148.10728180345964,0.0022448535068717843,-0.008574490435421467,-0.013913154602050781,0.004222869873046875,0.0,0.004222869873046875,0.0,0.6006562283391259,1.0074285429013548,0.5,0.5,512,512,262144,0.28992286914189763,1.105241710997056,0.2802213803915594
CG,20260719,PMRID,validation,pmrid_gt_025,high,148.4405090006516,3091976428,0.547930593385077,148.06060174634956,0.0025593233064187234,-0.007573387119919062,0.0006818771362304688,0.0008392333984375,0.0,0.0008392333984375,0.0,0.5971044206974496,1.0108602309354207,0.5,0.5,512,512,262144,0.28992286914189763,1.8899184980019703,0.04917382731237263
CG,20260720,sCMOS,training,content_062,high,148.4405090006516,2741863235,0.587631854028538,148.66032403346588,0.0014808291503051296,-0.009387021884322166,-0.01115107536315918,0.0,0.0,0.0,0.0,0.5876318892391552,1.3941235789901447,0.5,0.5,512,512,262144,0.28992286914189763,2.026855817782805,3.521061719968799e-08
CG,20260720,PMRID,validation,pmrid_gt_023,high,148.4405090006516,3671059424,0.43806229912509154,148.6549132194997,0.001444378089859293,0.0030819394160062075,0.011248350143432617,0.0023345947265625,0.0,0.0023345947265625,0.0,0.5820874270543652,1.0131901622865427,0.5,0.5,512,512,262144,0.28992286914189763,1.5109615202886588,0.1440251279292737
