source_pair_key,full_mean_dn,roi_mean_dn,roi_to_full_mean_ratio,full_p99_dn,roi_p99_dn,full_robust_dynamic_range_dn,roi_robust_dynamic_range_dn,full_zero_ratio,roi_zero_ratio,full_saturation_ratio,roi_saturation_ratio
15ms_to_500ms_047,17111.76168370247,12861.943714141846,0.7516434573999343,39595.0,30223.140000000014,32230.0,22891.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_048,17111.512144327164,12849.454048156738,0.7509245202748847,39632.0,30037.570000000007,32270.0,22715.570000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_049,17116.44657588005,12856.551387786865,0.7511226895601045,39643.0,29960.560000000056,32289.0,22621.560000000056,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_050,17097.260502576828,12846.693458557129,0.7513889992271527,39623.0,30266.570000000007,32283.0,22938.140000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_051,17092.976647377014,12878.128677368164,0.7534163851645094,39601.0,30176.140000000014,32265.0,22863.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_052,17119.06808233261,12830.098934173584,0.7494624632876266,39647.0,30160.980000000098,32288.0,22875.980000000098,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_053,17123.410274028778,12859.666648864746,0.7509991551372867,39623.0,30297.280000000028,32206.0,22930.850000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_054,17109.967408180237,12846.284664154053,0.7508070797383444,39649.0,30383.280000000028,32293.0,23062.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_055,17112.454879283905,12852.866569519043,0.7510825688182553,39657.0,30021.280000000028,32301.0,22658.280000000028,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_056,17110.675096273422,12851.170307159424,0.7510615586382278,39636.0,30076.71000000002,32287.0,22759.28000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_057,17121.368673324585,12884.569995880127,0.7525432248856676,39646.0,30070.140000000014,32265.0,22725.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_058,17062.2136926651,12789.61351776123,0.7495869966310044,39581.0,30038.71000000002,32259.0,22740.71000000002,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_059,17086.7165350914,12843.076225280762,0.751640972032551,39607.0,30107.140000000014,32252.0,22773.140000000014,0.0,0.0,0.00048422813415527344,0.0
