source_pair_key,path,scope,crop_top,crop_left,crop_height,crop_width,dtype,shape,raw_min_dn,raw_max_dn,raw_mean_dn,raw_std_dn,raw_p0_1_dn,raw_p1_dn,raw_p5_dn,raw_p25_dn,raw_p50_dn,raw_median_dn,raw_p75_dn,raw_p95_dn,raw_p99_dn,raw_p99_9_dn,norm_min,norm_max,norm_mean,norm_std,norm_p0_1,norm_p1,norm_p5,norm_p25,norm_p50,norm_median,norm_p75,norm_p95,norm_p99,norm_p99_9,normalization_max_abs_error_vs_float64_div65535,zero_ratio,saturation_ratio,negative_before_clipping_ratio,dynamic_range_dn,robust_dynamic_range_dn_p1_p99,local_contrast_mean_norm,gradient_energy_norm,laplacian_variance_norm,high_frequency_energy_norm,row_mean_variation_norm,column_mean_variation_norm,bad_pixel_candidate_ratio,unique_value_count,nan_count,inf_count,preprocessing
15ms_to_500ms_028,F:\目标传感器噪声参数估计\data\500ms\P251621260028.tif,center_roi,768,768,512,512,uint16,512x512,3855.0,54420.0,12859.457874298096,3793.229154725355,6071.286,7314.0,8625.0,10774.0,12252.0,12252.0,13942.0,19139.0,30196.99000000005,38851.42800000007,0.05882352963089943,0.8303959965705872,0.196222722530365,0.05788097158074379,0.09264188601510644,0.11160448615243763,0.13160906385900664,0.16440070191500725,0.18695353627832456,0.18695353627832456,0.2127412832837415,0.29204242008087283,0.46077653162432364,0.5928347905699256,2.9709097737473655e-08,0.0,0.0,0.0,50565.0,22882.99000000005,0.02832861803472042,0.0006960220634937286,0.004703917074948549,0.00025133872986771166,0.02516249753534794,0.020475488156080246,0.009517669677734375,20680,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_029,F:\目标传感器噪声参数估计\data\500ms\P251621260029.tif,center_roi,768,768,512,512,uint16,512x512,3963.0,56036.0,12831.644550323486,3779.9808927134345,6018.715,7272.43,8631.0,10759.0,12237.0,12237.0,13892.25,19125.849999999977,29967.570000000007,38783.714000000036,0.06047150492668152,0.8550545573234558,0.1957983523607254,0.05767881125211716,0.0918397039749752,0.11097016861219196,0.13170061799038682,0.1641718165865568,0.18672465094987412,0.18672465094987412,0.21198214694438086,0.2918417639429309,0.4572758068207829,0.5918015411612121,2.9713645322004822e-08,0.0,0.0,0.0,52073.0,22695.140000000007,0.028169669210910797,0.0006892311503179371,0.004665310960263014,0.0002478387614246458,0.024827249348163605,0.02048712596297264,0.009449005126953125,20687,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_030,F:\目标传感器噪声参数估计\data\500ms\P251621280030.tif,center_roi,768,768,512,512,uint16,512x512,3605.0,55501.0,12926.197929382324,3805.408349163581,6123.0,7388.0,8676.0,10833.0,12325.0,12325.0,14023.0,19239.0,30333.840000000084,38832.85700000002,0.055008772760629654,0.8468909859657288,0.19724111258983612,0.05806680768728256,0.09343099107347219,0.11273365377279317,0.13238727397573816,0.16530098420691233,0.1880674448767834,0.1880674448767834,0.2139772640573739,0.29356832227054247,0.4628647287708871,0.5925514152742812,2.9705459758666564e-08,0.0,0.0,0.0,51896.0,22945.840000000084,0.028419850394129753,0.0006995581788942218,0.004710524808615446,0.00025238640955649316,0.025311460718512535,0.0204235278069973,0.009395599365234375,20687,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_031,F:\目标传感器噪声参数估计\data\500ms\P251621280031.tif,center_roi,768,768,512,512,uint16,512x512,2691.0,56413.0,12934.59705734253,3786.5139332497383,6133.286,7349.0,8709.0,10871.0,12353.0,12353.0,14014.0,19128.0,30467.270000000077,38844.85700000002,0.04106202721595764,0.8608071804046631,0.19736933708190918,0.0577784925699234,0.09358794537270161,0.11213855191882201,0.13289082169832914,0.1658808270389868,0.1884946974898909,0.1884946974898909,0.21383993286030364,0.2918745708400092,0.46490074006256316,0.5927345235370416,2.97109167268772e-08,0.0,0.0,0.0,53722.0,23118.270000000077,0.02838822826743126,0.0006920377491042018,0.00463277380913496,0.0002495839726179838,0.024781828746199608,0.02040576934814453,0.0096588134765625,20563,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_032,F:\目标传感器噪声参数估计\data\500ms\P251621290032.tif,center_roi,768,768,512,512,uint16,512x512,3335.0,56188.0,12826.20287322998,3761.447520575512,6031.0,7305.86,8640.0,10756.0,12237.0,12237.0,13899.0,19024.0,30061.0,38630.571000000054,0.05088883638381958,0.8573738932609558,0.1957152932882309,0.05739600583910942,0.09202716105897613,0.11148027771419851,0.1318379491874571,0.1641260395208667,0.18672465094987412,0.18672465094987412,0.21208514534218356,0.29028763256275275,0.4587014572365911,0.5894647287708866,2.970455026396479e-08,0.0,0.0,0.0,52853.0,22755.14,0.02821892499923706,0.0006897136918269098,0.004643809515982866,0.00024911315995268524,0.024926001206040382,0.02012282982468605,0.00951385498046875,20600,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_033,F:\目标传感器噪声参数估计\data\500ms\P251621290033.tif,center_roi,768,768,512,512,uint16,512x512,3905.0,55595.0,12823.872547149658,3780.3920491438175,5990.429,7273.43,8612.0,10770.0,12219.0,12219.0,13883.0,19155.0,30185.0,38751.42800000007,0.059586480259895325,0.8483253121376038,0.19567975401878357,0.057685092091560364,0.09140808728160525,0.11098542763408865,0.1314106965743496,0.16433966582742046,0.18644998855573358,0.18644998855573358,0.21184100099183642,0.29228656443122,0.46059357595178146,0.591308888380256,2.9706369253368337e-08,0.0,0.0,0.0,51690.0,22911.57,0.028284771367907524,0.0006861143046990037,0.004589682910591364,0.0002468897437211126,0.02469840832054615,0.02008920907974243,0.009754180908203125,20756,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_034,F:\目标传感器噪声参数估计\data\500ms\P251621300034.tif,center_roi,768,768,512,512,uint16,512x512,3635.0,57111.0,12818.316356658936,3772.648390147592,6043.715,7325.0,8654.0,10754.0,12214.0,12214.0,13875.0,19127.849999999977,30209.140000000014,38469.85700000002,0.05546654388308525,0.8714579939842224,0.19559498131275177,0.05756692588329315,0.09222117952239262,0.1117723353933013,0.13205157549401084,0.16409552147707332,0.1863736934462501,0.1863736934462501,0.21171892881666285,0.29187228198672427,0.46096192874036795,0.5870123903257803,2.9708188242771882e-08,0.0,0.0,0.0,53476.0,22884.140000000014,0.028189217671751976,0.000686626008246094,0.004635125398635864,0.00024745293194428086,0.024935545399785042,0.02009071595966816,0.009647369384765625,20700,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_035,F:\目标传感器噪声参数估计\data\500ms\P251621300035.tif,center_roi,768,768,512,512,uint16,512x512,3915.0,55426.0,12848.273040771484,3761.5046840398322,6109.0,7402.0,8695.0,10786.0,12244.0,12244.0,13888.0,19128.699999999953,30006.850000000035,38578.714000000036,0.05973907187581062,0.8457465767860413,0.19605208933353424,0.05739688500761986,0.09321736476691844,0.11294728007934692,0.1326771953917754,0.1645838101777676,0.186831464103151,0.186831464103151,0.2119172961013199,0.2918852521553361,0.45787518120088555,0.5886734416723893,2.9706369253368337e-08,0.0,0.0,0.0,51511.0,22604.850000000035,0.028131142258644104,0.0006800976698286831,0.004575314000248909,0.00024499057326465845,0.02492145635187626,0.02022676169872284,0.009677886962890625,20618,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_036,F:\目标传感器噪声参数估计\data\500ms\P251621310036.tif,center_roi,768,768,512,512,uint16,512x512,3543.0,52988.0,12794.496520996094,3781.8950163073687,5943.572,7252.0,8583.0,10711.0,12197.0,12197.0,13871.0,19074.849999999977,30109.70000000007,38549.28500000009,0.05406271293759346,0.8085450530052185,0.19523148238658905,0.0577080175280571,0.09069309529259174,0.11065842679484245,0.1309681849393454,0.16343938353551538,0.18611429007400626,0.18611429007400626,0.21165789272907606,0.29106355382619936,0.4594445716029613,0.5882243839169923,2.9706369253368337e-08,0.0,0.0,0.0,49445.0,22857.70000000007,0.028383590281009674,0.0006885832990519702,0.004635024815797806,0.0002479155664332211,0.024957379326224327,0.020250869914889336,0.00948333740234375,20743,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_037,F:\目标传感器噪声参数估计\data\500ms\P251621310037.tif,center_roi,768,768,512,512,uint16,512x512,3215.0,53307.0,12809.014499664307,3769.522024902786,6080.429,7359.43,8661.0,10729.0,12190.0,12190.0,13878.0,19042.0,30030.140000000014,38459.28500000009,0.04905775561928749,0.8134126663208008,0.1954530030488968,0.05751921609044075,0.09278139925230793,0.11229770351720456,0.1321583886472877,0.1637140459296559,0.1860074769207294,0.1860074769207294,0.21176470588235294,0.2905622949568933,0.4582305638208593,0.5868510719462896,2.9720011895939535e-08,0.0,0.0,0.0,50092.0,22670.710000000014,0.028444357216358185,0.0006999472388997674,0.00472650770097971,0.0002523629809729755,0.024349039420485497,0.020291993394494057,0.009449005126953125,20550,0,0,raw_uint16.astype(np.float32)/65535.0
