source_pair_key,path,scope,crop_top,crop_left,crop_height,crop_width,dtype,shape,raw_min_dn,raw_max_dn,raw_mean_dn,raw_std_dn,raw_p0_1_dn,raw_p1_dn,raw_p5_dn,raw_p25_dn,raw_p50_dn,raw_median_dn,raw_p75_dn,raw_p95_dn,raw_p99_dn,raw_p99_9_dn,norm_min,norm_max,norm_mean,norm_std,norm_p0_1,norm_p1,norm_p5,norm_p25,norm_p50,norm_median,norm_p75,norm_p95,norm_p99,norm_p99_9,normalization_max_abs_error_vs_float64_div65535,zero_ratio,saturation_ratio,negative_before_clipping_ratio,dynamic_range_dn,robust_dynamic_range_dn_p1_p99,local_contrast_mean_norm,gradient_energy_norm,laplacian_variance_norm,high_frequency_energy_norm,row_mean_variation_norm,column_mean_variation_norm,bad_pixel_candidate_ratio,unique_value_count,nan_count,inf_count,preprocessing
15ms_to_500ms_060,F:\目标传感器噪声参数估计\data\500ms\P251621430060.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17109.086972475052,7065.378295248438,5874.0,7343.0,8795.0,11959.0,15234.0,15234.0,21391.0,29437.0,39644.0,65503.0,1.5259021893143654e-05,1.0,0.26106783747673035,0.10781077295541763,0.08963149462119478,0.11204699778744183,0.13420309758144502,0.1824826428625925,0.2324559395742733,0.2324559395742733,0.32640573739223316,0.4491798275730526,0.6049286640726329,0.9995117112993057,2.9800958145642653e-08,0.0,0.00048422813415527344,0.0,65534.0,32301.0,0.03182673081755638,0.0009389164624735713,0.006534349638968706,0.0003459168947301805,0.05834861099720001,0.03435271978378296,0.0012295246124267578,46090,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_061,F:\目标传感器噪声参数估计\data\500ms\P251621430061.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17076.972855091095,7068.152372538951,5879.0,7327.0,8772.0,11925.0,15190.0,15190.0,21361.0,29409.0,39643.0,65503.0,1.5259021893143654e-05,1.0,0.26057788729667664,0.10785309225320816,0.08970778973067826,0.11180285343709469,0.133852140077821,0.18196383611810482,0.23178454261081866,0.23178454261081866,0.3259479667353323,0.4487525749599451,0.6049134050507362,0.9995117112993057,2.980004865094088e-08,0.0,0.00048422813415527344,0.0,65534.0,32316.0,0.03190932050347328,0.0009422161965630949,0.006557133048772812,0.0003470393712632358,0.0582699216902256,0.034356605261564255,0.001238107681274414,46122,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_062,F:\目标传感器噪声参数估计\data\500ms\P251621440062.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17098.97938489914,7062.435800476343,5902.303,7343.0,8780.0,11955.0,15217.0,15217.0,21387.0,29409.0,39603.96999999974,65503.0,1.5259021893143654e-05,1.0,0.26091355085372925,0.10776588320732117,0.09006337071793698,0.11204699778744183,0.13397421225299458,0.1824216067750057,0.23219653620202946,0.23219653620202946,0.3263447013046464,0.4487525749599451,0.6043178454261042,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32260.96999999974,0.03182841092348099,0.0009378332179039717,0.006526000797748566,0.0003453367971815169,0.058333683758974075,0.034288156777620316,0.0012364387512207031,46093,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_063,F:\目标传感器噪声参数估计\data\500ms\P251621440063.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17097.874079465866,7052.274682324895,5938.0,7375.0,8817.0,11960.0,15212.0,15212.0,21365.0,29416.0,39631.0,65503.0,1.5259021893143654e-05,1.0,0.260896772146225,0.1076107919216156,0.09060807202258335,0.11253528648813611,0.13453879606317234,0.1824979018844892,0.23212024109254598,0.23212024109254598,0.32600900282291906,0.44885938811322196,0.6047302967879759,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32256.0,0.0317910872399807,0.0009365860605612397,0.006518949288874865,0.00034490838879719377,0.05811242386698723,0.03433048352599144,0.0012707710266113281,46064,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_064,F:\目标传感器噪声参数估计\data\500ms\P251621450064.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17089.19917345047,7051.082452268857,5928.0,7370.0,8802.0,11948.0,15210.0,15210.0,21365.0,29380.849999999627,39600.0,65503.0,1.5259021893143654e-05,1.0,0.260764479637146,0.1075926199555397,0.09045548180361639,0.11245899137865263,0.1343099107347219,0.18231479362172884,0.23208972304875258,0.23208972304875258,0.32600900282291906,0.44832303349354735,0.6042572671091783,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32230.0,0.03182261809706688,0.0009350539767183363,0.006496644113212824,0.00034436528221704066,0.05811503157019615,0.03437801077961922,0.0012629032135009766,45930,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_065,F:\目标传感器噪声参数估计\data\500ms\P251621450065.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17101.285124063492,7053.906616665945,5937.0,7370.0,8803.0,11951.0,15213.0,15213.0,21404.0,29385.0,39575.96999999974,65503.0,1.5259021893143654e-05,1.0,0.26094892621040344,0.10763569921255112,0.09059281300068665,0.11245899137865263,0.1343251697566186,0.18236057068741893,0.23213550011444267,0.23213550011444267,0.3266041046768902,0.44838635843442437,0.6038905928129967,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32205.96999999974,0.03177298232913017,0.0009337302763015032,0.006492241285741329,0.00034401394077576697,0.05821957439184189,0.034450095146894455,0.001222372055053711,45971,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_066,F:\目标传感器噪声参数估计\data\500ms\P251621460066.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17050.036566495895,7039.306549574872,5865.0,7333.0,8773.0,11911.0,15166.0,15166.0,21361.0,29296.0,39537.0,65503.0,1.5259021893143654e-05,1.0,0.26016679406166077,0.1074129194021225,0.08949416342412451,0.11189440756847487,0.1338673990997177,0.18175020981155107,0.23141832608529794,0.23141832608529794,0.3259479667353323,0.4470283054856184,0.6032959487296864,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32204.0,0.031740978360176086,0.0009359734831377864,0.006519094575196505,0.0003450211079325527,0.05798935890197754,0.034385666251182556,0.0012426376342773438,46067,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_067,F:\目标传感器噪声参数估计\data\500ms\P251621460067.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17097.81686925888,7046.6036921380555,5885.0,7352.0,8796.0,11945.0,15215.0,15215.0,21425.0,29347.0,39498.0,65503.0,1.5259021893143654e-05,1.0,0.26089608669281006,0.10752427577972412,0.08979934386205844,0.1121843289845121,0.13421835660334172,0.18226901655603875,0.23216601815823606,0.23216601815823606,0.32692454413672084,0.4478065156023499,0.6027008468757152,0.9995117112993057,2.9798229550515032e-08,0.0,0.00048422813415527344,0.0,65534.0,32146.0,0.03182467073202133,0.0009404568118043244,0.006557703483849764,0.000346815912052989,0.058143794536590576,0.03438960015773773,0.001188039779663086,45936,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_068,F:\目标传感器噪声参数估计\data\500ms\P251621470068.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17086.696513414383,7053.468207126937,5890.303,7353.0,8784.0,11924.0,15199.0,15199.0,21414.0,29371.0,39470.0,65503.0,1.5259021893143654e-05,1.0,0.26072609424591064,0.10762902349233627,0.08988026245517662,0.11219958800640879,0.13403524834058136,0.18194857709620813,0.23192187380788892,0.23192187380788892,0.3267566948958572,0.4481727321278706,0.6022735942626077,0.9995117112993057,2.9800958145642653e-08,0.0,0.00048422813415527344,0.0,65534.0,32117.0,0.03188839554786682,0.0009420587448403239,0.006554752122610807,0.00034743142896331847,0.0581236332654953,0.034427400678396225,0.0011844635009765625,45987,0,0,raw_uint16.astype(np.float32)/65535.0
15ms_to_500ms_069,F:\目标传感器噪声参数估计\data\500ms\P251621480069.tif,full_image,0,0,2048,2048,uint16,2048x2048,1.0,65535.0,17091.220721006393,7041.6751888583585,5924.0,7370.0,8801.0,11956.0,15191.0,15191.0,21413.0,29344.0,39528.0,65503.0,1.5259021893143654e-05,1.0,0.2607952654361725,0.10744906961917877,0.0903944457160296,0.11245899137865263,0.1342946517128252,0.1824368657969024,0.23179980163271535,0.23179980163271535,0.3267414358739605,0.4477607385366598,0.6031586175326161,0.9995117112993057,2.9801867640344426e-08,0.0,0.00048422813415527344,0.0,65534.0,32158.0,0.03175898641347885,0.0009340383112430573,0.006501292809844017,0.0003442578308749944,0.05818331986665726,0.0342729426920414,0.0012607574462890625,45973,0,0,raw_uint16.astype(np.float32)/65535.0
