source,content_id,content_sha256,condition_id,seed,source_mean_DN,target_iccd_signal_DN,gain,scaled_mean_DN,relative_mean_error,source_zero_ratio,scaled_zero_ratio,added_zero_ratio,clipping_high_ratio,unique_values,scaled_std_DN,effective_dynamic_range_DN,round_trip_max_error_DN,scale_gate_pass,failure_reason,scene_id,patch_top,patch_left
sCMOS,content_069,664e781cb0d7a318f90086fcb024061b39deaceaa5e970c3c266a774b79d5f1b,mid,104451066,12819.02241897583,1491.98291015625,0.11638819727373964,1491.9832229614258,2.0965734503519953e-07,0.0,0.0,0.0,0.0,3909,438.24507773862615,2647.0,0.5,True,,,,
sCMOS,content_069,664e781cb0d7a318f90086fcb024061b39deaceaa5e970c3c266a774b79d5f1b,high,2398589434,12819.02241897583,2510.12255859375,0.19581232301131235,2510.1226196289062,2.4315608033176605e-08,0.0,0.0,0.0,0.0,6016,737.3052692581383,4452.570000000007,0.5,True,,,,
sCMOS,content_070,bf666a0891bd11532ffbc036122600e2a706637e2f9fa407a5cb4a6cf50e1724,low,627607110,12809.451637268066,935.1195068359376,0.07300230590006546,935.1187286376953,8.321912189964808e-07,0.0,0.0,0.0,0.0,2538,275.452165349999,1632.570000000007,0.5,True,,,,
sCMOS,content_070,bf666a0891bd11532ffbc036122600e2a706637e2f9fa407a5cb4a6cf50e1724,mid,486203452,12809.451637268066,1491.98291015625,0.1164751585318021,1491.9816856384277,8.20731801906086e-07,0.0,0.0,0.0,0.0,3859,439.4846268443138,2604.570000000007,0.5,True,,,,
sCMOS,content_070,bf666a0891bd11532ffbc036122600e2a706637e2f9fa407a5cb4a6cf50e1724,high,2283991428,12809.451637268066,2510.12255859375,0.19595862724449115,2510.1222915649414,1.0638078514514765e-07,0.0,0.0,0.0,0.0,5967,739.3902273293687,4381.140000000014,0.5,True,,,,
sCMOS,content_071,813d00f8216945b1af0e458e1baa3278356a6716c4200ed2ffaee4031b646d85,low,324869183,12820.132907867432,935.1195068359376,0.07294148302176146,935.1200065612793,5.343973021951542e-07,0.0,0.0,0.0,0.0,2548,274.22373505385764,1633.0,0.5,True,,,,
sCMOS,content_071,813d00f8216945b1af0e458e1baa3278356a6716c4200ed2ffaee4031b646d85,mid,3690604104,12820.132907867432,1491.98291015625,0.1163781156465744,1491.982250213623,4.4232586208645754e-07,0.0,0.0,0.0,0.0,3874,437.5241912187834,2606.0,0.5,True,,,,
sCMOS,content_071,813d00f8216945b1af0e458e1baa3278356a6716c4200ed2ffaee4031b646d85,high,3496073345,12820.132907867432,2510.12255859375,0.19579536161074768,2510.1231231689453,2.249193743068836e-07,0.0,0.0,0.0,0.0,6005,736.0922319735821,4384.0,0.5,True,,,,
sCMOS,content_072,5f6ff78994ab68eb4f64bd0a8d2727e2c8f4a4967f63f499d314740779a6b201,low,1597860318,12808.659790039062,935.1195068359376,0.07300681899312791,935.1199684143066,4.936036149954039e-07,0.0,0.0,0.0,0.0,2550,274.86873755310614,1647.0,0.5,True,,,,
sCMOS,content_072,5f6ff78994ab68eb4f64bd0a8d2727e2c8f4a4967f63f499d314740779a6b201,mid,2243776895,12808.659790039062,1491.98291015625,0.11648235917051396,1491.9830589294434,9.971507873625343e-08,0.0,0.0,0.0,0.0,3877,438.5535339063678,2627.570000000007,0.5,True,,,,
sCMOS,content_072,5f6ff78994ab68eb4f64bd0a8d2727e2c8f4a4967f63f499d314740779a6b201,high,2893708068,12808.659790039062,2510.12255859375,0.1959707416497862,2510.121685028076,3.480171399748402e-07,0.0,0.0,0.0,0.0,5987,737.826900721641,4420.570000000007,0.5,True,,,,
sCMOS,content_073,bf0fdae7addedf1cd4f8832515a618d14cc066cad4615ea621117c4da27b486b,low,3048909065,12813.800464630127,935.1195068359376,0.07297752992308126,935.1200675964355,5.996672017147548e-07,0.0,0.0,0.0,0.0,2525,273.63193504131084,1631.570000000007,0.5,True,,,,
sCMOS,content_073,bf0fdae7addedf1cd4f8832515a618d14cc066cad4615ea621117c4da27b486b,mid,4136293440,12813.800464630127,1491.98291015625,0.11643562846749202,1491.9825325012207,2.531228921766433e-07,0.0,0.0,0.0,0.0,3861,436.57876939331396,2603.0,0.5,True,,,,
sCMOS,content_073,bf0fdae7addedf1cd4f8832515a618d14cc066cad4615ea621117c4da27b486b,high,784017745,12813.800464630127,2510.12255859375,0.1958921215858191,2510.122398376465,6.382847108708859e-08,0.0,0.0,0.0,0.0,5957,734.5054249332054,4379.570000000007,0.5,True,,,,
sCMOS,content_074,e1caec4480b61da41209cbc0e50606e4a35aba90cc3007e51787c017f57f59a1,low,304479317,12784.950580596924,935.1195068359376,0.07314220738992307,935.1187973022461,7.587625820369303e-07,0.0,0.0,0.0,0.0,2546,276.03937202985816,1655.0,0.5,True,,,,
sCMOS,content_074,e1caec4480b61da41209cbc0e50606e4a35aba90cc3007e51787c017f57f59a1,mid,1996406855,12784.950580596924,1491.98291015625,0.11669837131952292,1491.9817581176758,7.721526609832958e-07,0.0,0.0,0.0,0.0,3877,440.41993536860946,2641.570000000007,0.5,True,,,,
sCMOS,content_074,e1caec4480b61da41209cbc0e50606e4a35aba90cc3007e51787c017f57f59a1,high,3022597012,12784.950580596924,2510.12255859375,0.19633416201101603,2510.122875213623,1.2613721667210363e-07,0.0,0.0,0.0,0.0,6003,740.9665101164666,4443.570000000007,0.5,True,,,,
sCMOS,content_075,c3d7f558423ca717ad2d8ed958171b42cdc882a30211bf96a403e12531478c7e,low,4077871005,12857.324447631836,935.1195068359376,0.07273048997438773,935.1195602416992,5.711116195807575e-08,0.0,0.0,0.0,0.0,2557,274.1659558355097,1659.570000000007,0.49993896484375,True,,,,
sCMOS,content_075,c3d7f558423ca717ad2d8ed958171b42cdc882a30211bf96a403e12531478c7e,mid,1794436383,12857.324447631836,1491.98291015625,0.11604147629883099,1491.9833450317383,2.914748455367408e-07,0.0,0.0,0.0,0.0,3874,437.4318588348064,2646.570000000007,0.5,True,,,,
sCMOS,content_075,c3d7f558423ca717ad2d8ed958171b42cdc882a30211bf96a403e12531478c7e,high,283156763,12857.324447631836,2510.12255859375,0.19522899720058665,2510.1216735839844,3.5257631648106074e-07,0.0,0.0,0.0,0.0,5982,735.9394168308163,4453.570000000007,0.5,True,,,,
sCMOS,content_076,59f21143a38eba488b9049ec54e410b8c4e8b394d36808534b98cb691a28e727,low,2067727234,12843.083572387695,935.1195068359376,0.07281113617032135,935.1198120117188,3.2634949747642775e-07,0.0,0.0,0.0,0.0,2561,275.3348657878651,1651.140000000014,0.5,True,,,,
sCMOS,content_076,59f21143a38eba488b9049ec54e410b8c4e8b394d36808534b98cb691a28e727,mid,3681421920,12843.083572387695,1491.98291015625,0.11617014728176149,1491.9819564819336,6.391992226682912e-07,0.0,0.0,0.0,0.0,3886,439.2967437582394,2635.710000000021,0.5,True,,,,
sCMOS,content_076,59f21143a38eba488b9049ec54e410b8c4e8b394d36808534b98cb691a28e727,high,3550319916,12843.083572387695,2510.12255859375,0.19544547416871522,2510.122615814209,2.2795882531103068e-08,0.0,0.0,0.0,0.0,5998,739.0756739475218,4434.420000000042,0.5,True,,,,
sCMOS,content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,low,2015508740,12757.245944976807,935.1195068359376,0.07330104874274553,935.1203880310059,9.423341741926573e-07,0.0,0.0,0.0,0.0,2578,275.4328582398458,1638.570000000007,0.5,True,,,,
sCMOS,content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,mid,2227069130,12757.245944976807,1491.98291015625,0.11695180265327733,1491.9813652038574,1.0355027407226318e-06,0.0,0.0,0.0,0.0,3903,439.4545197632772,2613.570000000007,0.5,True,,,,
sCMOS,content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,high,2997086663,12757.245944976807,2510.12255859375,0.1967605366722679,2510.123291015625,2.917872963981193e-07,0.0,0.0,0.0,0.0,6047,739.3398107781852,4397.570000000007,0.5,True,,,,
sCMOS,content_078,5315e9cebc56b570be1b3553d99d7b20cec839b46df438d886d0b23bad32475f,low,974924191,12807.729175567627,935.1195068359376,0.07301212369635338,935.1195831298828,8.158737427792593e-08,0.0,0.0,0.0,0.0,2551,275.3831255164316,1664.0,0.5,True,,,,
sCMOS,content_078,5315e9cebc56b570be1b3553d99d7b20cec839b46df438d886d0b23bad32475f,mid,983528143,12807.729175567627,1491.98291015625,0.11649082282301824,1491.9823760986328,3.579515646942431e-07,0.0,0.0,0.0,0.0,3876,439.37172114347777,2655.0,0.5,True,,,,
sCMOS,content_078,5315e9cebc56b570be1b3553d99d7b20cec839b46df438d886d0b23bad32475f,high,3394200218,12807.729175567627,2510.12255859375,0.19598498095838318,2510.122512817383,1.8236706024882455e-08,0.0,0.0,0.0,0.0,5980,739.2023653129265,4466.0,0.5,True,,,,
sCMOS,content_079,aa25ba90cffa8319ff36e73836dee9ab6f2a3b519bdf940a5c9d214654aa7fda,low,2044330991,12841.609397888184,935.1195068359376,0.0728194946491457,935.1196365356445,1.3869853635757636e-07,0.0,0.0,0.0,0.0,2553,275.21799247524973,1650.570000000007,0.5,True,,,,
sCMOS,content_079,aa25ba90cffa8319ff36e73836dee9ab6f2a3b519bdf940a5c9d214654aa7fda,mid,2682723258,12841.609397888184,1491.98291015625,0.11618348323237493,1491.9828796386719,2.045437512538532e-08,0.0,0.0,0.0,0.0,3899,439.1081621275584,2632.710000000021,0.5,True,,,,
