folder,variant,construction,strength,tail,spatial,signal_nonstationarity,real_std,synthetic_std,real_kurtosis,synthetic_kurtosis,real_conditional_valid_fraction,synthetic_conditional_valid_fraction
5,P-L,B,0.9229569008225317,266.1195011138916,0.010969990681140455,0.9470898200757832,0.003949684556573629,0.0015693771420046687,3.2236690521240234,269.3431701660156,1.0,0.125
5,P-H,A,0.012092173537063907,357.87758445739746,0.010405618187827715,0.9470213591541017,0.003942334558814764,0.003990295343101025,3.226266860961914,361.1038513183594,1.0,0.125
5,P-H,B,0.02064770992521028,379.32000160217285,0.00951013159586722,0.9470898200757832,0.003949684556573629,0.0040320842526853085,3.2236690521240234,382.5436706542969,1.0,0.125
5,H-L,A,0.9237534115463752,83.00385093688965,0.013654357986934419,0.9470213591541017,0.003942334558814764,0.0015652094734832644,3.226266860961914,86.23011779785156,1.0,0.125
5,H-L,B,0.9229553430581239,80.89508247375488,0.012926368033968804,0.9470898200757832,0.003949684556573629,0.001569379586726427,3.2236690521240234,84.1187515258789,1.0,0.125
5,H-H,A,0.012092523632357003,97.74874687194824,0.012552912300689669,0.9470213591541017,0.003942334558814764,0.0039902967400848866,3.226266860961914,100.97501373291016,1.0,0.125
5,H-H,B,0.020648518347725603,97.47675514221191,0.011787252859412855,0.9470898200757832,0.003949684556573629,0.00403208751231432,3.2236690521240234,100.70042419433594,1.0,0.125
7,P-L,A,0.4928953947191492,256.3665609359741,0.009839471338468873,0.9205181844838224,0.0025623273104429245,0.0015652108704671264,3.275803565979004,259.6423645019531,1.0,0.125
7,P-L,B,0.4913057944932353,266.05691146850586,0.010036634572867343,0.9203972023839279,0.0025650670286267996,0.0015693771420046687,3.2862586975097656,269.3431701660156,1.0,0.125
7,P-H,A,0.44294929784270587,357.82804775238037,0.008987252633814046,0.9205181844838224,0.0025623273104429245,0.003990295343101025,3.275803565979004,361.1038513183594,1.0,0.125
7,P-H,B,0.4522988162545067,379.2574119567871,0.009387788542117331,0.9203972023839279,0.0025650670286267996,0.0040320842526853085,3.2862586975097656,382.5436706542969,1.0,0.125
7,H-L,A,0.49289628724073314,82.95431423187256,0.010965499240929284,0.9205181844838224,0.0025623273104429245,0.0015652094734832644,3.275803565979004,86.23011779785156,1.0,0.125
7,H-L,B,0.4913042367288274,80.83249282836914,0.011265297417895226,0.9203972023839279,0.0025650670286267996,0.001569379586726427,3.2862586975097656,84.1187515258789,1.0,0.125
7,H-H,A,0.44294964793799896,97.69921016693115,0.010238981157792471,0.9205181844838224,0.0025623273104429245,0.0039902967400848866,3.275803565979004,100.97501373291016,1.0,0.125
7,H-H,B,0.4522996246770221,97.41416549682617,0.010578861902758495,0.9203972023839279,0.0025650670286267996,0.00403208751231432,3.2862586975097656,100.70042419433594,1.0,0.125
8,P-L,A,0.4019848459232759,256.39404582977295,0.006235156568733439,0.9145280657160664,0.0023396594915539026,0.0015652108704671264,3.248318672180176,259.6423645019531,1.0,0.125
8,P-L,B,0.3994973392871877,266.08920764923096,0.00484796160401082,0.9139728331044836,0.0023400590289384127,0.0015693771420046687,3.253962516784668,269.3431701660156,1.0,0.125
8,P-H,A,0.5338598466385793,357.8555326461792,0.005742736187073448,0.9145280657160664,0.0023396594915539026,0.003990295343101025,3.248318672180176,361.1038513183594,1.0,0.125
8,P-H,B,0.5441072714605542,379.2897081375122,0.005341868406979594,0.9139728331044836,0.0023400590289384127,0.0040320842526853085,3.253962516784668,382.5436706542969,1.0,0.125
8,H-L,A,0.40198573844485996,82.98179912567139,0.006952430992194752,0.9145280657160664,0.0023396594915539026,0.0015652094734832644,3.248318672180176,86.23011779785156,1.0,0.125
8,H-L,B,0.39949578152278,80.86478900909424,0.005443433205931651,0.9139728331044836,0.0023400590289384127,0.001569379586726427,3.253962516784668,84.1187515258789,1.0,0.125
8,H-H,A,0.5338601967338722,97.72669506072998,0.006473958292980624,0.9145280657160664,0.0023396594915539026,0.0039902967400848866,3.248318672180176,100.97501373291016,1.0,0.125
8,H-H,B,0.5441080798830696,97.44646167755127,0.004960488708879501,0.9139728331044836,0.0023400590289384127,0.00403208751231432,3.253962516784668,100.70042419433594,1.0,0.125
9,P-L,A,0.05597494443271555,256.80402421951294,0.0030261862065694895,0.842832628653384,0.0014800052158534527,0.0015652108704671264,2.8383402824401855,259.6423645019531,1.0,0.125
9,P-L,B,0.058820665120309285,266.5111713409424,0.0023926973127580105,0.8422922580370841,0.001479727798141539,0.0015693771420046687,2.831998825073242,269.3431701660156,1.0,0.125
9,P-H,A,0.9918196369945708,358.2655110359192,0.002859526673682073,0.842832628653384,0.0014800052158534527,0.003990295343101025,2.8383402824401855,361.1038513183594,1.0,0.125
9,P-H,B,1.0024252758680512,379.71167182922363,0.003659742338715026,0.8422922580370841,0.001479727798141539,0.0040320842526853085,2.831998825073242,382.5436706542969,1.0,0.125
9,H-L,A,0.05597405191113164,83.39177751541138,0.004649412539536984,0.842832628653384,0.0014800052158534527,0.0015652094734832644,2.8383402824401855,86.23011779785156,1.0,0.125
9,H-L,B,0.058822222884717085,81.28675270080566,0.0027313027363731223,0.8422922580370841,0.001479727798141539,0.001569379586726427,2.831998825073242,84.1187515258789,1.0,0.125
9,H-H,A,0.9918199870898639,98.13667345046997,0.0036742797837772054,0.842832628653384,0.0014800052158534527,0.0039902967400848866,2.8383402824401855,100.97501373291016,1.0,0.125
9,H-H,B,1.0024260842905666,97.8684253692627,0.0019661440458587066,0.8422922580370841,0.001479727798141539,0.00403208751231432,2.831998825073242,100.70042419433594,1.0,0.125
