folder,variant,strength,strength_A,strength_B,tail,tail_A,tail_B,spatial,spatial_A,spatial_B,signal_nonstationarity,signal_nonstationarity_A,signal_nonstationarity_B
5,H-L,0.9233543773022496,0.9237534115463752,0.9229553430581239,81.94946670532227,83.00385093688965,80.89508247375488,0.013290363010451611,0.013654357986934419,0.012926368033968804,0.9470555896149424,0.9470213591541017,0.9470898200757832
5,P-H,0.016369941731137094,0.012092173537063907,0.02064770992521028,368.59879302978516,357.87758445739746,379.32000160217285,0.009957874891847468,0.010405618187827715,0.00951013159586722,0.9470555896149424,0.9470213591541017,0.9470898200757832
5,P-L,0.9233547099236614,0.9237525190247912,0.9229569008225317,261.2677993774414,256.4160976409912,266.1195011138916,0.01136174643770495,0.011753502194269443,0.010969990681140455,0.9470555896149424,0.9470213591541017,0.9470898200757832
7,H-H,0.44762463630751054,0.44294964793799896,0.4522996246770221,97.55668783187866,97.69921016693115,97.41416549682617,0.010408921530275483,0.010238981157792471,0.010578861902758495,0.9204576934338751,0.9205181844838224,0.9203972023839279
7,H-L,0.4921002619847803,0.49289628724073314,0.4913042367288274,81.89340353012085,82.95431423187256,80.83249282836914,0.011115398329412255,0.010965499240929284,0.011265297417895226,0.9204576934338751,0.9205181844838224,0.9203972023839279
7,P-H,0.4476240570486063,0.44294929784270587,0.4522988162545067,368.54272985458374,357.82804775238037,379.2574119567871,0.009187520587965688,0.008987252633814046,0.009387788542117331,0.9204576934338751,0.9205181844838224,0.9203972023839279
7,P-L,0.49210059460619227,0.4928953947191492,0.4913057944932353,261.21173620224,256.3665609359741,266.05691146850586,0.009938052955668108,0.009839471338468873,0.010036634572867343,0.9204576934338751,0.9205181844838224,0.9203972023839279
8,H-H,0.5389841383084709,0.5338601967338722,0.5441080798830696,97.58657836914062,97.72669506072998,97.44646167755127,0.005717223500930063,0.006473958292980624,0.004960488708879501,0.914250449410275,0.9145280657160664,0.9139728331044836
8,H-L,0.40074075998381997,0.40198573844485996,0.39949578152278,81.92329406738281,82.98179912567139,80.86478900909424,0.006197932099063202,0.006952430992194752,0.005443433205931651,0.914250449410275,0.9145280657160664,0.9139728331044836
8,P-H,0.5389835590495667,0.5338598466385793,0.5441072714605542,368.5726203918457,357.8555326461792,379.2897081375122,0.00554230229702652,0.005742736187073448,0.005341868406979594,0.914250449410275,0.9145280657160664,0.9139728331044836
8,P-L,0.40074109260523183,0.4019848459232759,0.3994973392871877,261.24162673950195,256.39404582977295,266.08920764923096,0.00554155908637213,0.006235156568733439,0.00484796160401082,0.914250449410275,0.9145280657160664,0.9139728331044836
9,H-H,0.9971230356902152,0.9918199870898639,1.0024260842905666,98.00254940986633,98.13667345046997,97.8684253692627,0.002820211914817956,0.0036742797837772054,0.0019661440458587066,0.8425624433452341,0.842832628653384,0.8422922580370841
9,H-L,0.05739813739792436,0.05597405191113164,0.058822222884717085,82.33926510810852,83.39177751541138,81.28675270080566,0.0036903576379550534,0.004649412539536984,0.0027313027363731223,0.8425624433452341,0.842832628653384,0.8422922580370841
9,P-H,0.997122456431311,0.9918196369945708,1.0024252758680512,368.9885914325714,358.2655110359192,379.71167182922363,0.0032596345061985496,0.002859526673682073,0.003659742338715026,0.8425624433452341,0.842832628653384,0.8422922580370841
9,P-L,0.05739780477651242,0.05597494443271555,0.058820665120309285,261.65759778022766,256.80402421951294,266.5111713409424,0.0027094417596637502,0.0030261862065694895,0.0023926973127580105,0.8425624433452341,0.842832628653384,0.8422922580370841
