reference,strategy,folder,pair_count,mean_psnr_gain,std_psnr_gain,positive_pair_fraction,mean_ssim,mean_ssim_gain,mean_gradient_ratio_to_noisy,mean_residual_std,mean_removed_residual_std
ref25_q2,always_p99,10,8,0.026255630783694528,0.010107561044970674,1.0,0.9982849436287915,1.0571306837819927e-05,0.9945276421818936,0.00122115682461299,2.990336497532553e-05
ref25_q2,always_p99,11,8,0.04944708899072392,0.020655133419055564,1.0,0.9989468525513681,1.3433035921259218e-05,0.9944210800819628,0.0009542547559249215,2.664391740836436e-05
ref25_q2,always_p99,13,8,-0.005617355782363553,0.044705752225761716,0.5,0.9995449624488195,-3.5072390917739726e-06,0.9946551887592154,0.0006157616298878565,2.4570964569647913e-05
ref25_q2,always_physical,1,8,-0.008617131968286174,0.022236656830449012,0.25,0.997919349239407,-8.488965764746892e-06,0.9992701401716482,0.0013589414156740531,6.86882702893854e-06
ref25_q2,always_physical,2,8,-0.11480757298314082,0.09532417275353341,0.0,0.9993887706349313,-2.6165996711291495e-05,0.9999998273371178,0.0007030680280877277,2.902403456461755e-10
ref25_q2,always_physical,4,8,0.3459782931235207,0.02157966448135437,1.0,0.9957664811906852,0.0003848036992067788,0.968499752624852,0.0020065830613020808,0.00015756311404402368
ref25_q2,always_physical,5,8,1.276235533005032,0.21469276206963633,1.0,0.9888967871647041,0.0056285013494526,0.8613521399309083,0.00420441193273291,0.0013708085607504472
ref25_q2,always_physical,7,8,0.9075642072777406,0.10408340648357808,1.0,0.9937476730801019,0.0017077298477429365,0.9165292071693869,0.002604796987725422,0.000500234127684962
ref25_q2,always_physical,8,8,0.7754829169052426,0.03515998937983231,1.0,0.994567275019221,0.0011484347356065655,0.9354080992471385,0.0023014921753201634,0.00036219531830283813
ref25_q2,always_physical,9,8,0.05339856153863387,0.009287277314317584,1.0,0.9973337316794246,3.0201029425733217e-05,0.9943887924620137,0.0015335494244936854,3.0207131430870504e-05
ref25_q2,always_physical,10,8,0.008986677877603988,0.01688427599088613,0.75,0.9982768054488195,2.4331268657640237e-06,0.9988727280520499,0.0012250708387000486,8.062829010668793e-06
ref25_q2,always_physical,11,8,-0.06843464905392249,0.039863230430878874,0.0,0.9989092013853201,-2.421813012666585e-05,0.9999994576504732,0.0009588880857336335,9.349197793717678e-08
ref25_q2,always_physical,13,8,-0.016770071339251125,0.11011837223765007,0.5,0.9995450731801041,-3.3965078072573096e-06,0.9999999558842716,0.0006183539735502563,1.1114974565740177e-10
ref25_q2,lofo_best_hard,1,8,0.016589732441324223,0.016857709190685678,0.875,0.9979365408158607,8.702610689012569e-06,0.9952180892058808,0.0013565472327172756,2.1399231400209828e-05
ref25_q2,lofo_best_hard,2,8,0.04648986709125236,0.041585850436644624,0.875,0.9994224393445661,7.5027129236016066e-06,0.9945710611258465,0.0007000465193414129,2.259454481645662e-05
ref25_q2,lofo_best_hard,4,8,0.3459782931235207,0.02157966448135437,1.0,0.9957664811906852,0.0003848036992067788,0.968499752624852,0.0020065830613020808,0.00015756311404402368
ref25_q2,lofo_best_hard,5,8,1.276235533005032,0.21469276206963633,1.0,0.9888967871647041,0.0056285013494526,0.8613521399309083,0.00420441193273291,0.0013708085607504472
ref25_q2,lofo_best_hard,7,8,0.9075642072777406,0.10408340648357808,1.0,0.9937476730801019,0.0017077298477429365,0.9165292071693869,0.002604796987725422,0.000500234127684962
ref25_q2,lofo_best_hard,8,8,0.7754829169052426,0.03515998937983231,1.0,0.994567275019221,0.0011484347356065655,0.9354080992471385,0.0023014921753201634,0.00036219531830283813
ref25_q2,lofo_best_hard,9,8,0.03876419534143771,0.006217437679667634,1.0,0.9973313170975311,2.778644753216597e-05,0.9946495872319061,0.001538525364594534,3.6431997159525054e-05
ref25_q2,lofo_best_hard,10,8,0.008986677877603988,0.01688427599088613,0.75,0.9982768054488195,2.4331268657640237e-06,0.9988727280520499,0.0012250708387000486,8.062829010668793e-06
ref25_q2,lofo_best_hard,11,8,0.04944708899072392,0.020655133419055564,1.0,0.9989468525513681,1.3433035921259218e-05,0.9944210800819628,0.0009542547559249215,2.664391740836436e-05
ref25_q2,lofo_best_hard,13,8,-0.005617355782363553,0.044705752225761716,0.5,0.9995449624488195,-3.5072390917739726e-06,0.9946551887592154,0.0006157616298878565,2.4570964569647913e-05
ref25_q2,lofo_best_linear,1,8,0.016589732441324223,0.016857709190685678,0.875,0.9979365408158607,8.702610689012569e-06,0.9952180892058808,0.0013565472327172756,2.1399231400209828e-05
ref25_q2,lofo_best_linear,2,8,0.04648986709125236,0.041585850436644624,0.875,0.9994224393445661,7.5027129236016066e-06,0.9945710611258465,0.0007000465193414129,2.259454481645662e-05
ref25_q2,lofo_best_linear,4,8,0.3459782931235207,0.02157966448135437,1.0,0.9957664811906852,0.0003848036992067788,0.968499752624852,0.0020065830613020808,0.00015756311404402368
ref25_q2,lofo_best_linear,5,8,1.276235533005032,0.21469276206963633,1.0,0.9888967871647041,0.0056285013494526,0.8613521399309083,0.00420441193273291,0.0013708085607504472
ref25_q2,lofo_best_linear,7,8,0.9075642072777406,0.10408340648357808,1.0,0.9937476730801019,0.0017077298477429365,0.9165292071693869,0.002604796987725422,0.000500234127684962
ref25_q2,lofo_best_linear,8,8,0.7754829169052426,0.03515998937983231,1.0,0.994567275019221,0.0011484347356065655,0.9354080992471385,0.0023014921753201634,0.00036219531830283813
