reference,strategy,pair_key,folder,condition_score,psnr,psnr_gain,ssim,ssim_gain,residual_mean,residual_std,gradient_ratio_to_noisy,removed_residual_std,is_primary_strategy
ref25_q3,always_physical,folder_2_frame_121,2,-0.9639743404913954,63.01103865897666,-0.09703806963442219,0.9994127125972216,-2.105777862648761e-05,-0.0001068724668584764,0.0006989229004830122,0.9999998213517065,2.968369161582274e-10,0
ref25_q3,lofo_best_hard,folder_2_frame_121,2,-0.9639743404913954,63.14702608015219,0.038949351541106125,0.999439133715558,5.363339709907322e-06,1.7916268916451372e-05,0.0006958325975574553,0.9945584189770307,2.2528503905050457e-05,0
ref25_q3,lofo_best_linear,folder_2_frame_121,2,-0.9639743404913954,63.14702608015219,0.038949351541106125,0.999439133715558,5.363339709907322e-06,1.7916268916451372e-05,0.0006958325975574553,0.9945584189770307,2.2528503905050457e-05,1
ref25_q4,always_noisy,folder_2_frame_121,2,-0.9639743404913954,63.12972850655102,0.0,0.9994378440654407,0.0,-1.8653930965228938e-05,0.0006972012924961746,1.0,0.0,0
ref25_q4,always_p99,folder_2_frame_121,2,-0.9639743404913954,63.16856359776486,0.038835091213840656,0.9994431020729442,5.258007503505802e-06,1.8636010281625204e-05,0.000694089278113097,0.9945584189770307,2.2528503905050457e-05,0
ref25_q4,always_physical,folder_2_frame_121,2,-0.9639743404913954,63.03330915206314,-0.0964193544878782,0.9994171183911859,-2.072567425481786e-05,-0.00010615272913128138,0.0006972011760808527,0.9999998213517065,2.968369161582274e-10,0
ref25_q4,lofo_best_hard,folder_2_frame_121,2,-0.9639743404913954,63.16856359776486,0.038835091213840656,0.9994431020729442,5.258007503505802e-06,1.8636010281625204e-05,0.000694089278113097,0.9945584189770307,2.2528503905050457e-05,0
ref25_q4,lofo_best_linear,folder_2_frame_121,2,-0.9639743404913954,63.16856359776486,0.038835091213840656,0.9994431020729442,5.258007503505802e-06,1.8636010281625204e-05,0.000694089278113097,0.9945584189770307,2.2528503905050457e-05,1
ref50_h1,always_noisy,folder_2_frame_121,2,-0.9639743404913954,63.14627612132434,0.0,0.9994365524409643,0.0,-1.0510766514926217e-05,0.0006960439495742321,1.0,0.0,0
ref50_h1,always_p99,folder_2_frame_121,2,-0.9639743404913954,63.179111519208355,0.03283539788401413,0.9994405843140001,4.031873035770239e-06,2.677917291293852e-05,0.0006929794908501208,0.9945584189770307,2.2528503905050457e-05,0
