run_seed,model,folder,band,raw_energy,output_energy,corrected_energy,output_energy_ratio,corrected_energy_ratio,raw_fraction,output_fraction,corrected_fraction
20260721,CG_NC,9,dc,117407705989120.0,117605253971968.0,117407528714240.0,1.0016825810638554,0.9999984900916128,0.0017381414744648159,0.0017708173882159141,0.0017678454327820102
20260721,CG_NC,9,very_low,504434780012544.0,504717956349952.0,504717939572736.0,1.0005613735385197,1.000561340279084,0.00746781486713988,0.007599688815453179,0.007599711143639702
20260721,CG_NC,9,low,1303071057510400.0,1298163054936064.0,1298163063324672.0,0.9962335111765025,0.9962335176140701,0.019291083410176164,0.019546828332756373,0.019546886538175445
20260721,CG_NC,9,mid,1.3092399777579008e+16,1.27779370696704e+16,1.2777936935452672e+16,0.9759812782033183,0.9759812679517426,0.19382410091372373,0.19240120984641076,0.19240177950340218
20260721,CG_NC,9,high,5.253052885054259e+16,5.171455338112614e+16,5.171455391799706e+16,0.9844666427833227,0.9844666530034923,0.7776788593344954,0.7786814556171637,0.7786837773820007
20260719,G,11,dc,187720243478528.0,187611307048960.0,187720203632640.0,0.999419687362698,0.9999997877379271,0.007046917126229347,0.007294907465329633,0.007299110864103599
20260719,G,11,very_low,171186085429248.0,171099458371584.0,171099449458688.0,0.9994939597021173,0.9994939076365771,0.006426233712623071,0.006652875755846635,0.006652847302627288
20260719,G,11,low,578145145061376.0,576324198465536.0,576324198465536.0,0.9968503642875931,0.9968503642875931,0.02170325825645636,0.02240926607232259,0.022409171399035054
20260719,G,11,mid,5609607829389312.0,5489158457917440.0,5489158558580736.0,0.9785280227896102,0.9785280407344111,0.2105816653113141,0.21343544609808315,0.21343454830323547
20260719,G,11,high,2.009197431698227e+16,1.929392677925683e+16,1.929392644371251e+16,0.9602802828067071,0.9602802661062916,0.7542419255933771,0.750207504608418,0.7502043221309986
20260719,CG_NC,11,dc,187720243478528.0,187545479806976.0,187719995228160.0,0.9990690206430933,0.9999986775514276,0.007046917126229347,0.007367510596028764,0.007374315676466795
20260719,CG_NC,11,very_low,171186085429248.0,171015097286656.0,171015138705408.0,0.9990011563021419,0.9990013982537695,0.006426233712623071,0.006718133343640641,0.006718088910750474
20260719,CG_NC,11,low,578145145061376.0,575541665071104.0,575541669265408.0,0.9954968401749779,0.9954968474297373,0.02170325825645636,0.02260949888118643,0.022609344033730758
20260719,CG_NC,11,mid,5609607829389312.0,5457563218870272.0,5457563252424704.0,0.972895679137771,0.9728956851193713,0.2105816653113141,0.21439415593970484,0.2143926873572992
20260719,CG_NC,11,high,2.009197431698227e+16,1.906408073199616e+16,1.9064080664887296e+16,0.9488405883478903,0.9488405850078072,0.7542419255933771,0.7489107012394394,0.7489055640217528
20260720,G,11,dc,187720243478528.0,187409578983424.0,187720358166528.0,0.9983450666302831,1.00000061095169,0.007046917126229347,0.007427133824015685,0.007439358672393274
20260720,G,11,very_low,171186085429248.0,170784575193088.0,170784569425920.0,0.99765453929767,0.9976545056082029,0.006426233712623071,0.006768276744002103,0.0067681932853685236
20260720,G,11,low,578145145061376.0,576004001103872.0,576003994812416.0,0.9962965286904265,0.9962965178082872,0.02170325825645636,0.022827321968133345,0.022827041009263235
20260720,G,11,mid,5609607829389312.0,5581183836487680.0,5581183635161088.0,0.9949329803854173,0.9949329444958154,0.2105816653113141,0.22118506148340283,0.22118233357312267
20260720,G,11,high,2.009197431698227e+16,1.871771376549888e+16,1.8717713497063424e+16,0.9316015176108488,0.9316015042505162,0.7542419255933771,0.741792205980446,0.7417830734598523
20260720,CG_NC,11,dc,187720243478528.0,189163402035200.0,187720306786304.0,1.0076878152826234,1.0000003372453328,0.007046917126229347,0.007638560432094289,0.007580729002190235
20260720,CG_NC,11,very_low,171186085429248.0,172221213966336.0,172221231792128.0,1.0060468030125955,1.0060469071436757,0.006426233712623071,0.00695442213671809,0.006954828217523268
20260720,CG_NC,11,low,578145145061376.0,579667891322880.0,579667872448512.0,1.0026338477015877,1.00263381505517,0.02170325825645636,0.02340742538342878,0.023408788998574938
20260720,CG_NC,11,mid,5609607829389312.0,5570418484183040.0,5570418400296960.0,0.9930138886000275,0.9930138736460267,0.2105816653113141,0.22493768755316323,0.2249507953848402
20260720,CG_NC,11,high,2.009197431698227e+16,1.825280281595085e+16,1.8252802614624256e+16,0.9084623804502424,0.9084623704299931,0.7542419255933771,0.7370619044945956,0.7371048583968713
20260721,G,11,dc,187720243478528.0,188248768774144.0,187720174010368.0,1.0028154944071146,0.9999996299378335,0.007046917126229347,0.007131543007399151,0.0071116603598103565
20260721,G,11,very_low,171186085429248.0,171335000522752.0,171334993182720.0,1.0008699018563956,1.000869858978892,0.006426233712623071,0.0064907884012072635,0.006490918121558047
20260721,G,11,low,578145145061376.0,576287720603648.0,576287724797952.0,0.9967872696439736,0.996787276898733,0.02170325825645636,0.0218318594638555,0.02183229687430685
20260721,G,11,mid,5609607829389312.0,5498098432344064.0,5498098499452928.0,0.9801217125266692,0.9801217244898698,0.2105816653113141,0.20828781874381658,0.2082919929039306
20260721,G,11,high,2.009197431698227e+16,1.996266942758912e+16,1.996266929337139e+16,0.9935643512502472,0.993564344570081,0.7542419255933771,0.7562579903837215,0.7562731317403941
20260721,CG_NC,11,dc,187720243478528.0,188091988443136.0,187719958134784.0,1.0019803136716607,0.9999984799521953,0.007046917126229347,0.0071668475172929,0.007152773440632475
