folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
9,32,3,1029.280029296875,1065.9200439453125,32791,-0.010465249454410916,0.05772247254217355
9,32,4,1065.9200439453125,1347.0400390625,32769,0.014992305731529577,0.06385160854133756
9,32,5,1347.0400390625,1782.6400146484375,32768,0.00837898229357187,0.06761484697201342
9,32,6,1782.6400146484375,2241.530029296875,32770,0.0045680470535798615,0.054929601901175504
9,32,7,2241.530029296875,2985.43994140625,32768,-0.010826748584011581,0.0921628763536513
9,100,0,935.8400268554688,994.0800170898438,32716,-0.0029204763769521015,0.05452933654129157
9,100,1,994.0800170898438,1009.52001953125,32761,-0.0026925591671239564,0.05632700135572013
9,100,2,1009.52001953125,1029.280029296875,32801,-0.01021013260661792,0.07979039360986491
9,100,3,1029.280029296875,1065.9200439453125,32791,-0.010836456039732725,0.07738123489827353
9,100,4,1065.9200439453125,1347.0400390625,32769,-0.020992149352039403,0.055232796552963384
9,100,5,1347.0400390625,1782.6400146484375,32768,-0.013595105428023772,0.06191156836217279
9,100,6,1782.6400146484375,2241.530029296875,32770,-0.001371612567916093,0.03949168152094309
9,100,7,2241.530029296875,2985.43994140625,32768,-0.004784455546818345,0.05076403798975559
10,1,0,914.0800170898438,965.280029296875,32687,0.0004901689700350023,0.05568677402736698
10,1,1,965.280029296875,975.2000122070312,32721,-0.007608422560478772,0.06283376622559417
10,1,2,975.2000122070312,987.2000122070312,32877,0.003419539166844586,0.05180564755323224
10,1,3,987.2000122070312,1009.5599975585938,32787,-0.0042797340116879495,0.08821278422069663
10,1,4,1009.5599975585938,1170.719970703125,32761,-0.001172859826508956,0.039772759997053396
10,1,5,1170.719970703125,1421.3599853515625,32773,0.003245571597153079,0.046461082716765814
10,1,6,1421.3599853515625,1690.0799560546875,32758,-0.0044735556853724824,0.0369601175045415
10,1,7,1690.0799560546875,2407.840087890625,32780,-0.003942092194100988,0.03424227723553274
10,8,0,914.0800170898438,965.280029296875,32687,-0.00806370851889842,0.06582866470854422
10,8,1,965.280029296875,975.2000122070312,32721,-0.008406046926024396,0.03518588681132716
10,8,2,975.2000122070312,987.2000122070312,32877,-0.010119229574860986,0.06092187141040296
10,8,3,987.2000122070312,1009.5599975585938,32787,-0.009187794761851435,0.06303215880935059
10,8,4,1009.5599975585938,1170.719970703125,32761,-0.002922320987403215,0.05299900702009746
10,8,5,1170.719970703125,1421.3599853515625,32773,0.009365161565149703,0.0460907535897798
10,8,6,1421.3599853515625,1690.0799560546875,32758,-0.011558679273367822,0.08222037148205316
10,8,7,1690.0799560546875,2407.840087890625,32780,0.0016296532396834868,0.04576820054502056
10,32,0,914.0800170898438,965.280029296875,32687,-0.0030936795063627523,0.06873389531270199
10,32,1,965.280029296875,975.2000122070312,32721,-0.0006895039078650323,0.04693185958461276
10,32,2,975.2000122070312,987.2000122070312,32877,-0.01635828915135989,0.0669051363563581
10,32,3,987.2000122070312,1009.5599975585938,32787,-0.007212737681556399,0.0682669117979551
10,32,4,1009.5599975585938,1170.719970703125,32761,-0.00647507565677431,0.0974027350917071
10,32,5,1170.719970703125,1421.3599853515625,32773,-0.0022542931966694564,0.05262610850559696
10,32,6,1421.3599853515625,1690.0799560546875,32758,0.0032828550849363218,0.042024808142933995
10,32,7,1690.0799560546875,2407.840087890625,32780,-0.013996901973167058,0.06349854416322324
10,100,0,914.0800170898438,965.280029296875,32687,0.0012377351036173111,0.05576180724427992
10,100,1,965.280029296875,975.2000122070312,32721,-0.010494869765868073,0.052652508567397914
10,100,2,975.2000122070312,987.2000122070312,32877,-0.0022183885711424475,0.05084367747064178
10,100,3,987.2000122070312,1009.5599975585938,32787,-0.0008794668972808315,0.06743348116959125
10,100,4,1009.5599975585938,1170.719970703125,32761,-0.010998016485541185,0.04108824302940155
10,100,5,1170.719970703125,1421.3599853515625,32773,-0.006013080483636405,0.04140451739686368
10,100,6,1421.3599853515625,1690.0799560546875,32758,-0.010349033714113123,0.05407331504770068
10,100,7,1690.0799560546875,2407.840087890625,32780,-0.005594428733995981,0.05484242537771279
11,1,0,903.0399780273438,948.5599975585938,32603,-0.007890705347906977,0.07841111905847584
11,1,1,948.5599975585938,955.52001953125,32801,-0.001119383559164892,0.04552054506075069
11,1,2,955.52001953125,963.2000122070312,32787,-0.011601482564202339,0.05034007957088927
11,1,3,963.2000122070312,977.4400024414062,32811,-0.011181487973568232,0.0578941210165702
11,1,4,977.4400024414062,1064.9599609375,32824,0.0007047143743174579,0.06610198709591114
11,1,5,1064.9599609375,1203.43994140625,32774,0.012665915991484969,0.10062790908494716
11,1,6,1203.43994140625,1348.6400146484375,32769,-0.009765561794444115,0.052529688204321294
11,1,7,1348.6400146484375,1990.800048828125,32775,-0.005401555978552052,0.04297295652803193
11,8,0,903.0399780273438,948.5599975585938,32603,-0.0016806486801128953,0.0609855610584001
11,8,1,948.5599975585938,955.52001953125,32801,-0.0035799966390629924,0.049569238894967754
11,8,2,955.52001953125,963.2000122070312,32787,-0.005562483278465574,0.05373346556969902
11,8,3,963.2000122070312,977.4400024414062,32811,-0.012054732120105653,0.05952334198984724
