folder,candidate,pair_count_nonreused,input_frame_count,target_frame_count,input_residual_std_dn,target_residual_std_dn,input_target_difference_std_dn,target_bias_dn,fixed_pattern_retained,fixed_map_half_correlation,inference_input,oversmoothing_risk
7,8mean_to_8mean,12,8,8,74.52795219421387,72.76518408457439,85.58463287353516,-0.2294068026045958,True,0.9990989953893858,eight-frame mean,moderate
7,odd_mean_to_even_mean,1,100,100,16.973390579223633,16.973390579223633,24.003997802734375,0.07156552374362946,True,0.9990989953893858,temporal mean,high
7,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9990989953893858,synthetic content,not_pairable
8,single_to_single,100,1,1,158.0814585876465,157.9426885986328,219.7114552307129,0.1646774835139513,True,0.9993656656842301,single-frame,low
8,single_to_8mean,22,1,8,158.21767633611506,62.091388182206586,164.9089619029652,-0.016176396642218937,True,0.9993656656842301,single-frame,moderate
8,single_to_16mean,11,1,16,158.11010187322444,48.27230002663352,160.1835341020064,0.0279885855588046,True,0.9993656656842301,single-frame,high
8,8mean_to_8mean,12,8,8,62.183210372924805,62.29917049407959,77.87051200866699,0.22723373646537462,True,0.9993656656842301,eight-frame mean,moderate
8,odd_mean_to_even_mean,1,100,100,15.536808013916016,15.536808013916016,21.97236442565918,0.1646774262189865,True,0.9993656656842301,temporal mean,high
8,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9993656656842301,synthetic content,not_pairable
9,single_to_single,100,1,1,99.13706504821778,99.12693138122559,139.32887939453124,-0.13760166846215724,True,0.9992356896263594,single-frame,low
9,single_to_8mean,22,1,8,99.18644055453214,36.57201714949174,104.492769761519,0.09216574511744759,True,0.9992356896263594,single-frame,moderate
9,single_to_16mean,11,1,16,99.25152934681286,27.049250862815164,101.61167560924183,0.08212559975006363,True,0.9992356896263594,single-frame,high
9,8mean_to_8mean,12,8,8,36.656697591145836,36.5936082204183,49.2439988454183,-0.10047208269437154,True,0.9992356896263594,eight-frame mean,moderate
9,odd_mean_to_even_mean,1,100,100,9.865674018859863,9.865674018859863,13.952169418334961,-0.1376015543937683,True,0.9992356896263594,temporal mean,high
9,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9992356896263594,synthetic content,not_pairable
10,single_to_single,100,1,1,78.88983840942383,78.88545471191406,111.10332206726075,-0.2711014043539762,True,0.9989856925373048,single-frame,low
10,single_to_8mean,22,1,8,78.96245089444247,28.71310130032626,83.36896376176314,-0.019032619724219494,True,0.9989856925373048,single-frame,moderate
10,single_to_16mean,11,1,16,78.90769056840377,20.99468317898837,80.96139665083452,0.010161210190166126,True,0.9989856925373048,single-frame,high
10,8mean_to_8mean,12,8,8,28.76657183965047,28.78210210800171,39.30617014567057,-0.7472991477698088,True,0.9989856925373048,eight-frame mean,moderate
10,odd_mean_to_even_mean,1,100,100,7.858643531799316,7.858643531799316,11.113800048828125,-0.27110135555267334,True,0.9989856925373048,temporal mean,high
10,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9989856925373048,synthetic content,not_pairable
11,single_to_single,100,1,1,61.860605010986326,61.922310752868654,87.2271420288086,-0.22369481675326824,True,0.9984779111234477,single-frame,low
11,single_to_8mean,22,1,8,61.8136794350364,22.41405712474476,65.40821318192916,0.08944820003076033,True,0.9984779111234477,single-frame,moderate
11,single_to_16mean,11,1,16,61.8177656693892,16.252926739779387,63.55019239945845,0.18912344900044528,True,0.9984779111234477,single-frame,high
11,8mean_to_8mean,12,8,8,22.343010425567627,22.448965072631836,30.973832766215008,-0.21613327941546837,True,0.9984779111234477,eight-frame mean,moderate
11,odd_mean_to_even_mean,1,100,100,6.158168315887451,6.158168315887451,8.708965301513672,-0.22369472682476044,True,0.9984779111234477,temporal mean,high
11,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9984779111234477,synthetic content,not_pairable
13,single_to_single,100,1,1,39.865620155334476,39.86465286254883,56.22317283630371,-0.14952114775776862,True,0.9162115638981652,single-frame,low
13,single_to_8mean,22,1,8,39.89344666220925,14.35480698672208,42.1973991394043,-0.050548983229832214,True,0.9162115638981652,single-frame,moderate
13,single_to_16mean,11,1,16,39.88009123368697,10.36843169819225,40.99284813620827,-0.14905130050399087,True,0.9162115638981652,single-frame,high
13,8mean_to_8mean,12,8,8,14.375890652338663,14.354927778244019,19.893515745798748,-0.09309414029121399,True,0.9162115638981652,eight-frame mean,moderate
13,odd_mean_to_even_mean,1,100,100,3.9787914752960205,3.9787914752960205,5.626860618591309,-0.14952117204666138,True,0.9162115638981652,temporal mean,high
13,synthetic_noisy_to_temporal_mean,0,1,100,nan,nan,nan,nan,domain_mismatch,0.9162115638981652,synthetic content,not_pairable
