folder,lag,pair_count,residual_correlation_mean,residual_correlation_max_abs,highpass_correlation_mean,highpass_correlation_max_abs,row_correlation_mean,column_correlation_mean
4,16,24,0.028791204185614486,0.08699024011826413,-0.004653707073391498,0.01953621639665161,0.18479772075199374,0.5751758004997313
4,32,24,0.018447250206398896,0.07012137210548,-0.006252043017937526,0.02649549249589467,0.1309779947411177,0.4582085887519698
4,64,24,0.0026041837889011245,0.04352091228217442,-0.004416326898955228,0.02035496188497815,0.03211657860174485,0.08871286192977879
4,100,24,-0.025040674958348847,0.04910713727975633,-0.006030544424009188,0.024025779609880782,-0.11158831699742812,-0.4942407103239275
5,1,24,0.12881904718333576,0.330433670915013,-0.0038339391995173503,0.02109190860457229,0.5255647595692913,0.7884456857241373
5,2,24,0.12963107568582932,0.31535749124029705,-0.0023322225898615963,0.023894355204743083,0.5175612105588712,0.7789657380323535
5,4,24,0.12326560190195834,0.32264820240011965,-0.0044234884569229705,0.027650873656515525,0.4891645703339995,0.7807830314347534
5,8,24,0.12045798408020751,0.3285100558259215,-0.0023944853458825843,0.03988332509258257,0.49862115374251664,0.7599310813344857
5,16,24,0.11134144622893383,0.2850980253102564,-0.0017993851453388804,0.02165287468586085,0.47825677051672616,0.7173930935655326
5,32,24,0.08590930967125877,0.23554424245623817,-0.000892187877731521,0.020702666919870643,0.37707794148938767,0.5940895736486566
5,64,24,0.01890367268868766,0.15256887681388273,-0.005561689282743073,0.031032666109672372,0.07584490590556957,0.08526081188271273
5,100,24,-0.07246575023349806,0.14347581879747134,-0.006800421072618521,0.03832401881013415,-0.346246697387359,-0.6997823836736049
7,1,24,0.0481244862780295,0.1651719538971501,-0.005186110208099045,0.026710073606905218,0.2545529879122892,0.7156844152866287
7,2,24,0.0475026721010654,0.13758515836609977,-0.0037108945149244617,0.034269667286852296,0.2597587407563988,0.6974319188854858
7,4,24,0.049037288182993945,0.14908193057260424,-0.0036306071979715624,0.030102907740978013,0.22674147632666738,0.702365233426823
7,8,24,0.04239719903258584,0.1529504315811577,-0.006975973956206062,0.02659286627643436,0.19730664443495058,0.6970602023346849
7,16,24,0.036546595530161353,0.10599315490114616,-0.0044193624185214315,0.028127919460657944,0.23774011897697397,0.6408736650390836
7,32,24,0.030607767182484216,0.11992237494775658,-0.0036894156985693197,0.027183010717540673,0.1978098365361999,0.5573219715536674
7,64,24,0.004987944449872509,0.08531711516964412,-0.005943965835608238,0.0217163225004115,0.04984709566502866,0.09192545451765861
7,100,24,-0.027800477470214625,0.05720421224459162,-0.002170021878168928,0.036006226278961696,-0.177651241228485,-0.5518409100370959
8,1,24,0.02325843030258796,0.08610447074773742,-0.006169523488828097,0.028533403605777764,0.2226714635813285,0.544299834944631
8,2,24,0.025303820719572382,0.08582194882883833,-0.00400615627404674,0.0315957956414138,0.25668356413421395,0.5381703873557041
8,4,24,0.023777600836734553,0.09821118970343826,-0.004876193164177124,0.029971530699655493,0.231907735955567,0.5836146137673375
8,8,24,0.02082559251419643,0.08041322709385143,-0.005768488595656797,0.026457378869758838,0.22282715715829182,0.5985377832313262
8,16,24,0.01811480796946747,0.0791529961027623,-0.005455103908042481,0.033373843372892516,0.1933611977062848,0.539933291016379
8,32,24,0.017864947155873494,0.05780420194371087,-0.0013386344799109142,0.0202782331291028,0.16282453529688032,0.3931064902912022
8,64,24,0.002119032849837075,0.038903741247815184,-0.0032345246811724994,0.018761270556016924,0.03830918150631025,0.09530805240879402
8,100,24,-0.02256308887018603,0.06216227765314073,-0.008356664008653085,0.026998678442189002,-0.1251140365546993,-0.4407305981311844
9,1,24,0.0035273059833053175,0.042099392455670355,-0.00523273578871502,0.027615415533333857,0.02115638397852471,0.399824680650924
9,2,24,0.00556570645133904,0.04932492869383561,-0.0012319590461166107,0.033909499557465916,0.03357825297104213,0.3955874243241406
9,4,24,0.004872879124238681,0.050461767033228404,-0.0027405061938338055,0.023137648907143517,0.0382477632293374,0.38596697537573194
