variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-H,20260716,reference_b_even,8,8,0.0,-2.68800087163918,0.9884867847501981,-0.00510730541184809,0.7125507182965254,0.002387619053479284,-0.002366171218454838
H-H,20260716,reference_b_even,9,8,0.0,-4.362648305515649,0.9940215833637609,-0.0033402251198318134,0.5026359212249585,0.0020568563777487725,-0.0014671957178507
H-H,20260716,reference_b_even,10,8,0.0,-6.9671244249697875,0.9921952437079935,-0.006115052560705034,0.28617191859255076,0.002341463230550289,-0.0013645287399413064
H-H,20260716,reference_b_even,11,8,0.0,-7.843013587857959,0.9925644404227165,-0.006391196786023623,0.07833587065705633,0.0021830956102348864,-0.0008592511003371328
H-H,20260716,reference_b_even,13,8,0.0,-5.910496564765553,0.997298193600855,-0.002259484301973702,0.027860918711905255,0.00022336142137646675,0.0011943114077439532
H-H,20260717,reference_a_odd,1,8,0.0,-6.734906681677231,0.991520604953809,-0.006583956273025854,0.17590434015823317,0.00249520389479585,-0.001308330858591944
H-H,20260717,reference_a_odd,2,8,0.0,-4.179034650165086,0.9977410164751027,-0.0016862043662205367,0.016753466677286815,0.0005208935035625473,0.0010042334324680269
H-H,20260717,reference_a_odd,4,8,0.0,-3.7342594259609143,0.9923602875673803,-0.003162905841446101,0.6321580019901694,0.0025039855390787125,-0.0019152915920130908
H-H,20260717,reference_a_odd,5,8,0.0,-2.4758625280800093,0.9702639784833857,-0.013523513084154518,0.8566685771488418,0.004715246323030442,-0.004068557813297957
H-H,20260717,reference_a_odd,7,8,0.0,-3.1176264334676267,0.9850600518703926,-0.007224318549403891,0.7264382659577135,0.0028542786894831806,-0.002827726333634928
H-H,20260717,reference_a_odd,8,8,0.0,-3.3085144994182043,0.9880516838151572,-0.005538889370937453,0.6968895493360651,0.0025702118582557887,-0.002542297210311517
H-H,20260717,reference_a_odd,9,8,0.0,-7.177448747168057,0.9901609869717818,-0.007199275654095269,0.4432049458661821,0.002847109135473147,-0.0020271295215934515
H-H,20260717,reference_a_odd,10,8,0.0,-8.975634714859757,0.9880893247326847,-0.01022232502301279,0.23916553261141105,0.0030128774815239012,-0.0016055031737778336
H-H,20260717,reference_a_odd,11,8,0.0,-8.070775473135509,0.9921376687624572,-0.006817138400371417,0.04605696294348577,0.002316956379218027,-0.000659699464449659
H-H,20260717,reference_a_odd,13,8,0.0,-7.525691597198216,0.9961393739920532,-0.0034194439627757145,0.017703786766280177,0.00021561294306593481,0.001446260022930801
H-H,20260717,reference_b_even,1,8,0.0,-6.763176119579185,0.9915239030844804,-0.006593239401785647,0.17590434015823317,0.00249328397330828,-0.0013108292769175023
H-H,20260717,reference_b_even,2,8,0.0,-4.087206815274029,0.9977868185141957,-0.0016386367068203928,0.016753466677286815,0.0005211826573940925,0.0009917796269292012
H-H,20260717,reference_b_even,4,8,0.0,-3.7469977048325447,0.9923542086391777,-0.0031741214393624234,0.6321580019901694,0.002501867536921054,-0.0019213003106415272
H-H,20260717,reference_b_even,5,8,0.0,-2.478570827215723,0.9703210635466131,-0.013485027520940301,0.8566685771488418,0.004705598927102983,-0.004060376435518265
H-H,20260717,reference_b_even,7,8,0.0,-3.1205184883898314,0.9850717873685111,-0.007214399737355409,0.7264382659577135,0.0028499802865553647,-0.0028282046550884843
H-H,20260717,reference_b_even,8,8,0.0,-3.325067345476455,0.9880222849283113,-0.005571805233734864,0.6968895493360651,0.0025656258512753993,-0.002550015604356304
H-H,20260717,reference_b_even,9,8,0.0,-7.168217605952203,0.990187137742637,-0.007174670740955735,0.4432049458661821,0.002845714916475117,-0.002020032872678712
H-H,20260717,reference_b_even,10,8,0.0,-8.956630037100243,0.9881221601512054,-0.01018813611749328,0.23916553261141105,0.003012300352565944,-0.0015930128574837
H-H,20260717,reference_b_even,11,8,0.0,-8.0628032157891,0.9921506434632122,-0.006804993745527885,0.04605696294348577,0.0023155870439950377,-0.0006541582115460187
H-H,20260717,reference_b_even,13,8,0.0,-7.594359133732791,0.9960693073009074,-0.003488370601921406,0.017703786766280177,0.0002153915793314809,0.001459135441109538
H-H,20260718,reference_a_odd,1,8,0.0,-6.6570177914739554,0.9914616876684523,-0.006642873558382556,0.17844385892687625,0.002456112066283822,-0.0013282441796036437
H-H,20260718,reference_a_odd,2,8,0.0,-3.817565773308739,0.9979173719242073,-0.0015098489171160162,0.02258885488713568,0.0005209505688981153,0.0009519543964415789
H-H,20260718,reference_a_odd,4,8,0.0,-1.9646236249356166,0.9931868171127104,-0.002336376296116008,0.6902166478086226,0.0023384227824863046,-0.001069603516953066
H-H,20260718,reference_a_odd,5,8,0.0,-2.2084583515322986,0.9695528225220176,-0.014234669045522688,0.876147759624031,0.005119013600051403,-0.0032066914427559823
H-H,20260718,reference_a_odd,7,8,0.0,-2.566131578656374,0.9847921948122724,-0.007492175607524104,0.7630332492341302,0.0031770460191182792,-0.0020318645401857793
H-H,20260718,reference_a_odd,8,8,0.0,-2.483858168832998,0.988081904577232,-0.005508668608862774,0.7400964451575953,0.0027891992358490825,-0.0017403158417437226
H-H,20260718,reference_a_odd,9,8,0.0,-5.386695082157269,0.9920992109986013,-0.005261051627275692,0.48061673795419974,0.002478015871020034,-0.0013954233872937039
H-H,20260718,reference_a_odd,10,8,0.0,-8.848765055545988,0.9881632357443679,-0.01014841401132957,0.24016326576071184,0.0029550234612543136,-0.0016085549141280353
H-H,20260718,reference_a_odd,11,8,0.0,-8.319974130666946,0.9916716290041859,-0.007283178158642767,0.029666126125953134,0.0023666605702601373,-0.0007383327028946951
H-H,20260718,reference_a_odd,13,8,0.0,-7.2061447752769325,0.9964000947622604,-0.0031587231925685466,0.025258564342300237,0.00021949826077616308,0.0013922300568083301
H-H,20260718,reference_b_even,1,8,0.0,-6.685606585234375,0.9914640689767449,-0.006653073509521101,0.17844385892687625,0.0024542692117393017,-0.001330742656136863
H-H,20260718,reference_b_even,2,8,0.0,-3.7232524717803948,0.9979609095003801,-0.0014645457206360346,0.02258885488713568,0.0005212379255681299,0.0009395006709382869
H-H,20260718,reference_b_even,4,8,0.0,-1.9732079048124662,0.9931830354025006,-0.002345294676039361,0.6902166478086226,0.0023360777995549142,-0.001075612221029587
H-H,20260718,reference_b_even,5,8,0.0,-2.2114958299082446,0.969610264551793,-0.014195826515760485,0.876147759624031,0.005109910212922841,-0.003198510268703103
