effect,seed,reference,folder,psnr_gain,ssim,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
P-H_minus_P-L,20260716,reference_a_odd,7,-3.7374674693835415,-0.0015904273015503456,-0.2989301858981527,-0.0002457413065712899,-0.0027979545047855936
H-H_minus_H-L,20260716,reference_a_odd,7,-1.9611545253313052,-0.005375584102391251,-0.11833665985115871,-1.300295116379857e-05,-0.0013480000488925725
H-L_minus_P-L,20260716,reference_a_odd,7,-0.6007783228138885,-0.0012855103134686852,-0.015336438048255241,2.1898449631407857e-05,-0.0005178174687898718
H-H_minus_P-H,20260716,reference_a_odd,7,1.1755346212383477,-0.0050706671143095905,0.16525708799873873,0.0002546368050388992,0.0009321369871031493
strength_main,20260716,reference_a_odd,8,-3.043332446727389,-0.002812886363570466,-0.20241433986968338,-2.662945189513266e-05,-0.0018249862478114665
structure_main,20260716,reference_a_odd,8,0.37289260949832936,-0.0023077638226848274,0.07536447729572138,5.777456681244075e-05,0.00019289710326120257
interaction,20260716,reference_a_odd,8,2.0663237318055767,-0.0024283785918824963,0.19339342900749623,7.119140354916453e-05,0.0013202872942201793
P-H_minus_P-L,20260716,reference_a_odd,8,-4.076494312630177,-0.0015986970676291623,-0.29911105437343155,-6.222515366971493e-05,-0.002485129894921556
H-H_minus_H-L,20260716,reference_a_odd,8,-2.0101705808246004,-0.004027075659511659,-0.10571762536593532,8.966249879449606e-06,-0.0011648426007013768
H-L_minus_P-L,20260716,reference_a_odd,8,-0.660269256404459,-0.0010935745267436348,-0.021332237208026683,2.2178865037858486e-05,-0.0004672465438488871
H-H_minus_P-H,20260716,reference_a_odd,8,1.4060544754011177,-0.003521953118626131,0.17206119179946955,9.337026858702302e-05,0.0008530407503712922
