variant,seed,reference,pair_key,folder,psnr,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_mean,residual_std,brightness_bias_to_reference,prediction_mean_minus_noisy_mean,removed_residual_std,noisy_psnr,noisy_ssim
P-L,20260718,reference_a_odd,folder_5_frame_131,5,46.83867237678225,0.11345449836046129,0.9845712777048433,0.0006506572557093415,0.9667097407771824,-0.0007216696976684034,0.00449298694729805,-0.0007216697558760643,-0.0003322763368487358,0.0004926484543830156,46.72521787842179,0.983920620449134
P-L,20260718,reference_b_even,folder_5_frame_131,5,46.85531270903483,0.11522675029638663,0.9845693431558703,0.0006567185139979559,0.9667097407771824,-0.0007134884945116937,0.004485474433749914,-0.0007134885527193546,-0.0003322763368487358,0.0004926484543830156,46.74008595873844,0.9839126246418723
P-L,20260718,reference_a_odd,folder_5_frame_141,5,46.6587522257789,0.12197270520562142,0.9844315254333852,0.000717352790623571,0.9672743637351952,-0.0006555669824592769,0.004599334206432104,-0.000655566924251616,-0.00032749364618211985,0.0004866212257184088,46.536779520573276,0.9837141726427616
P-L,20260718,reference_b_even,folder_5_frame_141,5,46.68076690026086,0.12367023727399129,0.9844545168556337,0.0007225593162668575,0.9672743637351952,-0.0006473857210949063,0.0045886170119047165,-0.0006473856628872454,-0.00032749364618211985,0.0004866212257184088,46.55709666298687,0.9837319575393668
P-L,20260718,reference_a_odd,folder_5_frame_151,5,46.32961795219319,0.10919533577046536,0.9842530614527446,0.0007235313150375511,0.9673869111389083,-0.0006519873859360814,0.00478099100291729,-0.0006519874441437423,-0.00032685717451386154,0.0004857151070609689,46.220422616422724,0.983529530137707
P-L,20260718,reference_b_even,folder_5_frame_151,5,46.355603695685474,0.11079615598790582,0.9842911128627915,0.0007284716204446484,0.9673869111389083,-0.0006438061827793717,0.004767554812133312,-0.0006438061827793717,-0.00032685717451386154,0.0004857151070609689,46.24480753969757,0.9835626412423468
P-L,20260718,reference_a_odd,folder_5_frame_161,5,46.10740593589398,0.10702264469435363,0.9841243866412901,0.0007253160841655948,0.9676839787417157,-0.0006988491513766348,0.004900701344013214,-0.0006988492095842957,-0.00032584730070084333,0.00048325170064345,46.000383291199626,0.9833990705571245
P-L,20260718,reference_b_even,folder_5_frame_161,5,46.13487767844471,0.10867784916192136,0.9841633911981333,0.0007308197486335377,0.9676839787417157,-0.0006906680064275861,0.004886074922978878,-0.0006906679482199252,-0.00032584730070084333,0.00048325170064345,46.02619982928279,0.9834325714494998
P-L,20260718,reference_a_odd,folder_5_frame_171,5,45.727540672193825,0.09296526541505301,0.9837213829463538,0.0007325825351207627,0.9675098503006194,-0.0006989908870309591,0.005124121438711882,-0.0006989908288232982,-0.00032583432039245963,0.0004834674473386258,45.63457540677877,0.982988800411233
P-L,20260718,reference_b_even,folder_5_frame_171,5,45.752098930266186,0.09456089546422675,0.9837483004054243,0.0007388704040132144,0.9675098503006194,-0.0006908096256665885,0.005110496189445257,-0.0006908095674589276,-0.00032583432039245963,0.0004834674473386258,45.65753803480196,0.983009430001411
P-L,20260718,reference_a_odd,folder_7_frame_101,7,51.528790273301716,0.08349791664527828,0.9925994748083287,9.537300202888677e-05,0.8677436331819496,-0.0006754404166713357,0.002564461436122656,-0.0006754404166713357,-0.0006487893988378346,0.0006138380849733949,51.44529235665644,0.9925041018062998
P-L,20260718,reference_b_even,folder_7_frame_101,7,51.53633384410039,0.08417009122098307,0.9926018423662964,9.67846301014319e-05,0.8677436331819496,-0.0006759188254363835,0.0025619540829211473,-0.0006759188254363835,-0.0006487893988378346,0.0006138380849733949,51.45216375287941,0.992505057736195
P-L,20260718,reference_a_odd,folder_7_frame_111,7,51.52209162237909,0.10492144079378107,0.9926588392438435,0.0001377340153418949,0.8688852131983251,-0.0006479229195974767,0.002573661506175995,-0.0006479229195974767,-0.0006507859216071665,0.0006103779305703938,51.417170181585305,0.9925211052285016
P-L,20260718,reference_b_even,folder_7_frame_111,7,51.530873922118126,0.10591114231925047,0.9926648925155344,0.00013946630297545504,0.8688852131983251,-0.0006484012701548636,0.002570774871855974,-0.0006484012701548636,-0.0006507859216071665,0.0006103779305703938,51.424962779798875,0.9925254262125589
P-L,20260718,reference_a_odd,folder_7_frame_121,7,51.39041395298196,0.1047438941837413,0.9925562917297366,0.00015147215590849417,0.8694752274264835,-0.0006591225974261761,0.002612647134810686,-0.0006591225392185152,-0.0006488955696113408,0.0006115027354098856,51.28567005879822,0.9924048195738281
P-L,20260718,reference_b_even,folder_7_frame_121,7,51.401325189216,0.1055197975756883,0.9925627369306709,0.0001527392399935934,0.8694752274264835,-0.000659600889775902,0.002609037794172764,-0.000659600947983563,-0.0006488955696113408,0.0006115027354098856,51.295805391640314,0.9924099976906773
P-L,20260718,reference_a_odd,folder_7_frame_131,7,51.207525184462135,0.06952828231585784,0.9924532903535296,0.00010699364938759892,0.8681008313782722,-0.0007232491043396294,0.00265509937889874,-0.0007232491625472903,-0.0006472734967246652,0.0006125625804997981,51.13799690214628,0.992346296704142
P-L,20260718,reference_b_even,folder_7_frame_131,7,51.214679331413635,0.07078145640910805,0.9924524867188607,0.0001095637981038955,0.8681008313782722,-0.0007237274548970163,0.002652620431035757,-0.0007237275131046772,-0.0006472734967246652,0.0006125625804997981,51.14389787500453,0.9923429229207568
