run_seed,model,folder,frame_index,pre_mean_shift_DN,post_mean_shift_DN,correction_DN,pre_gradient_ratio,post_gradient_ratio,pre_output_input_MAE_DN,post_output_input_MAE_DN
20260719,G,2,18,-0.7505158265121281,-2.75452621281147e-05,0.7505158265121281,0.9865552186965942,0.9865552186965942,1.8258558511734009,1.855904459953308
20260719,G,2,19,-0.7543838587589562,1.0672491043806076e-05,0.7543838587589562,0.9871639609336853,0.9871639609336853,1.8247497081756592,1.853348731994629
20260719,G,2,20,-0.7509735415223986,3.0209776014089584e-06,0.7509735415223986,0.9868747591972351,0.9868747591972351,1.8290140628814697,1.8583436012268066
20260719,G,2,21,-0.7503402661532164,2.5944784283638e-05,0.7503402661532164,0.9871933460235596,0.9871933460235596,1.8299674987792969,1.8586375713348389
20260719,G,2,22,-0.7508209766820073,-1.981528475880623e-05,0.7508209766820073,0.9868798851966858,0.9868800044059753,1.8269083499908447,1.8549914360046387
20260719,G,2,23,-0.7507828294765204,2.534361556172371e-06,0.7507828294765204,0.9868501424789429,0.9868499636650085,1.8214689493179321,1.8509758710861206
20260719,G,2,24,-0.7512864049058408,4.5655760914087296e-06,0.7512864049058408,0.9867613911628723,0.9867616891860962,1.8225526809692383,1.8520004749298096
20260719,G,2,25,-0.7531936820596457,-1.985393464565277e-05,0.7531936820596457,0.9869393110275269,0.9869393110275269,1.8205230236053467,1.8493633270263672
20260719,G,2,26,-0.7521560348104686,-1.1692056432366371e-05,0.7521560348104686,0.986652135848999,0.9866523742675781,1.8259245157241821,1.85606050491333
20260719,G,2,27,-0.7506989320972934,-1.9462313503026962e-05,0.7506989320972934,0.98671555519104,0.9867156744003296,1.8226516246795654,1.8514111042022705
20260719,G,2,28,-0.7489288737997413,-2.7506612241268158e-05,0.7489288737997413,0.9870323538780212,0.9870323538780212,1.8226821422576904,1.8523073196411133
20260719,G,2,29,-0.7505080972332507,-1.981598325073719e-05,0.7505080972332507,0.9872633814811707,0.9872633814811707,1.8266563415527344,1.8561383485794067
20260719,G,2,30,-0.7495621149428189,2.9748771339654922e-06,0.7495621149428189,0.9872899055480957,0.9872896671295166,1.8243067264556885,1.8538402318954468
20260719,G,2,31,-0.752308685099706,1.0650837793946266e-05,0.752308685099706,0.9872291684150696,0.9872291684150696,1.8157932758331299,1.8444628715515137
20260719,G,2,32,-0.752148488885723,-3.945198841392994e-06,0.752148488885723,0.9866357445716858,0.9866359233856201,1.822209119796753,1.8508243560791016
20260719,G,2,33,-0.7544907042756677,2.5897170417010784e-05,0.7544907042756677,0.9871177673339844,0.9871177673339844,1.8214839696884155,1.8493512868881226
20260719,G,2,34,-0.7528198754880577,-1.2258300557732582e-05,0.7528198754880577,0.9870280027389526,0.9870280027389526,1.8244065046310425,1.8535658121109009
20260719,G,2,35,-0.7510879532201216,1.0679592378437519e-05,0.7510879532201216,0.9870315194129944,0.9870315194129944,1.8196377754211426,1.849940299987793
20260719,G,2,36,-0.7533920251298696,2.594362013041973e-05,0.7533920251298696,0.9870294332504272,0.9870294332504272,1.831081748008728,1.859322190284729
20260719,G,2,37,-0.7537430196534842,-1.2160977348685265e-05,0.7537430196534842,0.9869698882102966,0.986970067024231,1.826977252960205,1.8547496795654297
20260719,G,2,38,-0.7510497840121388,-4.188157618045807e-06,0.7510497840121388,0.9868646860122681,0.9868647456169128,1.8242384195327759,1.853562355041504
20260719,G,2,39,-0.7514389483258128,2.589542418718338e-05,0.7514389483258128,0.987316906452179,0.987316906452179,1.8236358165740967,1.853769302368164
20260719,G,2,40,-0.7502258061431348,1.8334481865167618e-05,0.7502258061431348,0.9869161248207092,0.9869161248207092,1.8319125175476074,1.8608356714248657
